Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12
Other Operating Expenses,5.241M,4.481M,4.504M,6.044M,45.65M,10.05M,54.50M,3.617M,4.903M,6.466M,3.959M,6.198M,14.55M,2.988M,3.738M,6.383M,8.50M,4.93M,5.298M,8.732M,8.783M,8.812M,4.676M,6.474M,5.721M,3.891M,4.529M,4.024M,7.928M,9.303M,16.24M,4.001M,5.357M,20.19M,4.592M,,14.40M,9.665M,10.23M,,,,,,31.60M,-0.209M,,,-1.155M,0.049M,-4.422M,-7.92M,-1.67M,-229.73M,-0.004M,-0.207M,0.00,-0.015M,-0.059M,,0.131M,-0.12M,0.172M,-0.059M,-4.58M,-6.988M,2.292M,-0.56M,-0.049M,0.216M,-0.429M,0.018M,,0.231M,0.031M,,,-0.026M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,30.70M,27.48M,31.03M,42.98M,83.49M,33.62M,81.12M,34.87M,38.71M,38.90M,36.23M,38.96M,38.48M,31.13M,32.66M,40.25M,31.40M,27.44M,36.89M,42.54M,40.25M,39.32M,37.62M,41.15M,36.78M,40.12M,37.50M,51.42M,44.92M,43.57M,73.97M,45.13M,-212.37M,145.47M,119.70M,109.57M,-184.92M,124.59M,111.65M,100.05M,142.47M,87.68M,83.14M,85.75M,107.25M,69.31M,95.18M,85.99M,58.87M,61.89M,57.38M,56.92M,61.09M,-172.56M,60.88M,61.07M,56.66M,51.18M,50.79M,48.74M,47.21M,46.73M,47.02M,43.57M,34.91M,31.76M,40.88M,130.03M,37.31M,36.88M,40.07M,35.12M,33.31M,37.97M,28.64M,31.74M,15.42M,25.49M,22.75M,22.14M,20.00M,24.20M,24.10M,22.20M,16.40M,21.10M,21.20M,19.10M,19.00M,19.10M,18.30M,18.80M,20.40M,17.30M,17.70M,16.90M,15.50M,17.70M,21.20M,20.90M,21.80M,23.80M,22.80M,16.70M,20.10M,23.20M,15.40M,14.10M,18.10M,14.90M,14.20M,14.80M,10.50M,14.60M,15.90M,24.50M,18.90M,5.80M,13.90M,14.80M,,,,,
Operating Income,152.90M,125.88M,247.16M,350.78M,340.01M,150.41M,77.49M,219.09M,70.02M,53.28M,128.68M,191.63M,-3.682M,6.57M,-69.43M,-58.45M,-43.23M,-6.428M,-20.40M,85.74M,260.63M,189.23M,211.39M,195.77M,150.45M,127.11M,164.46M,87.11M,122.02M,75.90M,10.38M,47.20M,71.64M,61.38M,72.55M,37.91M,35.74M,57.80M,47.68M,59.83M,81.05M,74.15M,77.53M,86.50M,92.12M,123.23M,99.60M,80.82M,72.63M,65.98M,76.57M,83.17M,58.41M,308.57M,81.76M,95.21M,101.76M,63.12M,61.72M,38.04M,55.63M,40.79M,36.44M,36.09M,37.14M,51.84M,34.85M,-46.69M,23.12M,17.45M,9.85M,4.996M,-4.837M,21.60M,26.98M,68.52M,49.47M,15.80M,9.589M,14.79M,28.80M,9.60M,6.437M,1.80M,9.10M,1.60M,10.00M,9.40M,20.60M,10.90M,10.50M,23.30M,16.60M,7.60M,9.30M,15.10M,120.00M,-111.80M,-0.60M,1.80M,2.30M,-0.40M,1.50M,11.50M,4.30M,2.60M,3.20M,7.70M,8.20M,1.60M,1.80M,4.70M,6.30M,-0.80M,-1.60M,9.40M,13.00M,-2.10M,1.60M,9.80M,36.20M,-97.90M,37.40M,37.30M,37.30M
Non-Operating Interest Expense,,,,,,,,,,,,,,,21.96M,24.38M,,24.51M,24.17M,23.57M,23.47M,17.42M,16.33M,16.56M,16.68M,16.07M,16.99M,16.26M,16.72M,16.22M,18.50M,16.92M,17.74M,18.52M,18.04M,17.37M,20.50M,16.76M,,14.91M,14.85M,14.86M,15.05M,14.23M,,,6.207M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-14.65M,-13.55M,-14.57M,-12.18M,-15.62M,-14.19M,-23.33M,-20.06M,-20.41M,-20.33M,-20.62M,-20.77M,-20.52M,-21.48M,-21.96M,-24.38M,-24.67M,-24.51M,-24.17M,-23.57M,-23.47M,-17.42M,-16.33M,-16.56M,-16.68M,-16.07M,-16.99M,-16.26M,-16.72M,-16.22M,-18.50M,-16.92M,-17.74M,-18.52M,-18.04M,-17.37M,-20.50M,-16.76M,-15.77M,-14.91M,-14.85M,-14.86M,-15.05M,-14.23M,,,-6.207M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,69.16M,3.753M,3.507M,2.04M,0.553M,25.53M,0.422M,-42.16M,-508.84M,-8.206M,-70.93M,-1.93M,-439.80M,-3.374M,-5.962M,2.86M,-114.44M,5.404M,1.433M,1.559M,-749.92M,1.109M,-0.74M,-1.285M,17.24M,4.699M,0.566M,-0.096M,-16.35M,-0.126M,67.70M,-0.535M,26.97M,3.854M,34.07M,-1.517M,95.77M,-35.52M,4.387M,0.759M,-17.64M,0.572M,-23.29M,-22.01M,13.80M,-16.82M,-5.919M,-9.502M,-4.629M,-20.96M,-8.224M,-0.052M,-5.355M,222.08M,-7.762M,-6.953M,-3.64M,-8.169M,0.059M,,-3.691M,-12.90M,-0.172M,0.059M,-0.094M,-9.426M,-0.032M,0.56M,-7.939M,-4.89M,0.429M,-0.018M,-33.57M,-0.231M,-0.031M,0.004M,-31.23M,0.026M,-18.31M,-0.021M,-25.40M,4.50M,1.80M,1.10M,-8.40M,0.10M,,1.20M,-0.20M,,-0.50M,-0.60M,0.20M,,-0.70M,0.80M,-111.80M,,,-14.40M,,,,,0.60M,,1.00M,0.70M,-2.10M,0.70M,1.30M,1.70M,-0.20M,,,2.00M,1.90M,6.50M,0.80M,2.40M,,,,,
Net Interest Income,-14.65M,-13.55M,-14.57M,-12.18M,-15.62M,-14.19M,-23.33M,-20.06M,-20.41M,-20.33M,-20.62M,-20.77M,-20.52M,-21.48M,-21.96M,-24.38M,-24.67M,-24.51M,-24.17M,-23.57M,-23.47M,-17.42M,-16.33M,-16.56M,-16.68M,-16.07M,-16.99M,-16.26M,-16.72M,-16.22M,-18.50M,-16.92M,-17.74M,-18.52M,-18.04M,-17.37M,-20.50M,-16.76M,-15.77M,-14.91M,-14.85M,-14.86M,-15.05M,-14.23M,,,-6.207M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,207.42M,116.08M,236.10M,340.63M,324.94M,161.74M,54.58M,156.87M,-459.23M,24.74M,37.14M,168.92M,-463.99M,-18.29M,-97.36M,-79.96M,-182.34M,-25.53M,-43.13M,63.73M,-512.77M,172.92M,194.32M,177.93M,151.01M,115.74M,148.04M,70.76M,88.96M,59.56M,59.58M,29.74M,80.87M,46.72M,88.57M,19.02M,111.01M,5.515M,36.30M,45.68M,48.56M,59.87M,39.19M,75.67M,73.43M,104.23M,87.88M,70.08M,64.04M,51.60M,66.63M,75.26M,55.40M,297.77M,71.86M,85.48M,92.91M,53.68M,56.59M,33.06M,48.22M,28.70M,30.99M,30.71M,29.80M,36.66M,28.90M,-52.32M,12.69M,8.797M,3.519M,-1.23M,-28.00M,16.46M,22.27M,63.82M,27.99M,10.09M,-4.945M,8.802M,8.40M,7.50M,1.66M,-3.80M,-0.20M,-2.70M,5.30M,6.40M,15.90M,6.20M,5.60M,18.20M,12.10M,,3.80M,11.00M,-6.70M,-117.20M,-6.40M,-11.20M,-2.90M,-5.00M,-2.30M,8.70M,2.20M,0.10M,1.70M,5.70M,3.50M,0.00,0.70M,4.10M,3.60M,-2.90M,-3.70M,9.20M,12.70M,-0.90M,2.50M,12.10M,,,,,
Provision for Income Taxes,60.48M,25.72M,55.09M,77.87M,49.89M,39.41M,12.15M,39.64M,-414.79M,7.151M,15.61M,63.20M,-171.23M,-8.027M,-34.45M,-28.77M,-71.21M,-10.02M,-15.62M,23.47M,-291.00M,72.13M,75.90M,70.90M,73.06M,45.85M,58.92M,27.94M,48.09M,22.95M,23.65M,11.43M,54.51M,18.23M,33.90M,6.137M,61.90M,1.617M,14.62M,16.98M,12.20M,20.97M,13.69M,28.09M,29.73M,37.24M,33.25M,24.11M,22.00M,16.15M,25.25M,26.71M,23.68M,108.75M,24.99M,31.91M,34.40M,19.93M,21.17M,12.29M,15.99M,10.88M,11.68M,11.70M,10.02M,13.99M,10.99M,-19.94M,4.036M,2.672M,1.398M,-0.432M,-12.40M,6.43M,8.679M,24.76M,10.92M,3.953M,-1.863M,3.457M,2.90M,3.00M,0.70M,-1.40M,-0.20M,-1.00M,2.20M,2.60M,5.70M,2.50M,2.30M,7.10M,4.60M,,1.60M,4.40M,-2.70M,-45.30M,-2.50M,-4.40M,-1.10M,-2.00M,-0.90M,3.50M,0.90M,2.90M,0.50M,1.80M,1.80M,-0.20M,3.10M,1.30M,3.90M,-1.10M,-1.80M,3.90M,4.30M,-0.40M,0.90M,4.30M,,,,,
Income from Continuing Operations,146.94M,90.36M,181.01M,262.76M,275.04M,122.34M,42.43M,117.23M,-44.44M,17.59M,21.53M,105.72M,-292.76M,-10.26M,-62.91M,-51.19M,-111.12M,-15.51M,-27.51M,40.26M,-221.77M,100.79M,118.42M,107.03M,77.95M,69.89M,89.11M,42.82M,40.87M,36.61M,35.94M,18.32M,26.36M,28.48M,54.68M,12.89M,49.11M,3.898M,21.68M,28.70M,36.36M,38.90M,25.50M,47.58M,43.70M,66.99M,54.62M,45.98M,42.05M,35.45M,41.38M,48.55M,32.13M,189.02M,46.86M,53.57M,58.50M,33.76M,35.42M,20.76M,32.23M,17.82M,19.32M,19.01M,19.78M,22.67M,17.90M,-32.38M,8.654M,6.125M,2.121M,-0.798M,-15.60M,10.03M,13.59M,39.06M,17.07M,6.137M,-3.082M,5.345M,5.50M,4.50M,0.96M,-2.40M,0.00,-1.70M,3.10M,3.80M,10.20M,3.70M,3.30M,11.10M,7.50M,4.40M,2.20M,6.60M,-4.00M,-71.90M,-3.90M,-6.80M,-1.80M,-3.00M,-1.40M,5.20M,1.30M,-2.80M,1.20M,3.90M,1.70M,0.20M,-2.40M,2.80M,-0.30M,-1.80M,-1.90M,5.30M,8.40M,-0.50M,1.60M,7.80M,5.70M,6.40M,6.40M,6.40M,6.40M
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.403M,,,,,,,,,0.00,,,-6.847M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,4.60M,0.851M,0.848M,0.851M,0.85M,0.851M,0.80M,0.90M,0.90M,0.80M,0.90M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.40M,1.30M,1.40M,1.10M,0.60M,0.50M,0.60M,0.40M,,,,,,,,,,,,,,,,,,
Net Income,146.94M,90.36M,181.01M,262.76M,275.04M,122.34M,42.43M,117.23M,-44.44M,17.59M,21.53M,105.72M,-292.76M,-10.26M,-62.91M,-51.19M,-111.12M,-15.51M,-27.51M,40.26M,-221.77M,100.79M,118.42M,107.03M,77.95M,69.89M,89.11M,42.82M,40.87M,36.61M,35.94M,18.32M,26.36M,28.48M,54.68M,12.89M,49.11M,3.898M,21.68M,28.70M,36.36M,38.90M,25.50M,47.58M,43.70M,66.99M,54.62M,45.98M,42.05M,35.45M,41.38M,48.55M,32.53M,189.02M,46.86M,53.16M,58.50M,33.76M,35.42M,20.76M,32.23M,17.82M,19.32M,19.01M,19.78M,22.67M,17.90M,-39.22M,8.654M,6.125M,2.121M,-0.798M,-15.60M,10.03M,13.59M,39.06M,17.07M,6.137M,-3.082M,5.345M,5.50M,4.50M,0.96M,-2.40M,0.00,-1.70M,3.10M,3.80M,10.20M,3.70M,3.30M,11.10M,7.50M,4.40M,2.20M,6.60M,-4.00M,-71.90M,-3.90M,-6.80M,-1.80M,-3.00M,-1.40M,5.20M,1.30M,-2.80M,1.20M,3.90M,1.70M,0.20M,-2.40M,2.80M,-0.30M,-1.80M,-1.90M,5.30M,8.40M,-0.50M,1.60M,7.80M,5.70M,6.40M,6.40M,6.40M,6.40M
Normalized Income,146.94M,90.33M,181.01M,263.92M,276.30M,102.94M,42.01M,147.89M,202.95M,26.03M,63.50M,105.86M,-17.22M,-9.513M,-59.30M,-52.06M,-41.15M,-17.80M,-27.46M,40.17M,266.50M,100.76M,119.33M,107.80M,67.06M,67.22M,88.95M,42.88M,51.53M,36.69M,-4.888M,18.65M,8.830M,26.13M,33.64M,13.91M,-13.14M,29.01M,19.05M,28.22M,49.58M,38.53M,40.66M,61.42M,35.42M,77.80M,58.30M,52.21M,45.09M,49.85M,46.48M,48.58M,35.34M,48.05M,51.93M,57.93M,60.80M,38.89M,35.39M,20.76M,34.69M,25.83M,19.43M,18.97M,19.85M,28.50M,17.92M,-32.72M,14.07M,9.530M,1.862M,-0.7863M,4.539M,10.17M,13.61M,39.06M,36.12M,6.121M,8.331M,5.358M,22.13M,1.80M,-0.12M,-3.095M,5.04M,-1.763M,3.10M,3.08M,10.33M,3.70M,3.60M,11.47M,7.376M,4.40M,2.62M,6.12M,63.08M,-71.90M,-3.90M,1.943M,-1.80M,-3.00M,-1.40M,5.20M,0.94M,-2.80M,0.4941M,3.421M,2.96M,-0.50M,-3.18M,1.639M,-0.18M,-1.80M,-1.90M,4.10M,7.143M,-4.40M,1.088M,6.253M,,,,,
