Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1988-12,1987-12,1986-12,1985-12,1984-12
Restricted Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.72B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Deferred Tax Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.474B,1.677B,1.695B,,1.551B,1.557B,1.578B,1.623B,1.603B,1.624B,1.676B,1.689B,1.666B,1.593B,1.573B,1.551B,1.311B,1.276B,1.271B,1.267B,1.303B,1.33B,1.348B,1.261B,1.359B,1.372B,1.446B,1.427B,1.468B,1.483B,1.423B,1.441B,1.274B,1.342B,1.374B,1.372B,1.37B,1.378B,1.39B,1.431B,1.287B,1.331B,1.348B,1.378B,1.354B,1.363B,1.42B,1.439B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,1.461B,1.31B,1.276B,1.319B,1.511B,1.337B,1.263B,1.448B,1.397B,1.229B,1.027B,923.00M,1.208B,860.00M,894.00M,906.00M,843.00M,949.00M,983.00M,936.00M,1.373B,966.00M,992.00M,892.00M,1.071B,895.00M,902.00M,850.00M,1.473B,1.008B,755.00M,727.00M,793.00M,787.00M,880.00M,900.00M,1.113B,842.00M,816.00M,948.00M,1.078B,885.00M,966.00M,979.00M,769.00M,898.00M,876.00M,873.00M,955.00M,899.00M,688.00M,872.00M,701.00M,743.00M,700.00M,658.00M,633.00M,639.00M,579.00M,498.00M,571.00M,378.00M,361.00M,407.00M,388.00M,419.00M,352.00M,306.00M,244.00M,284.00M,319.00M,304.00M,261.00M,308.00M,297.00M,347.00M,274.00M,1.561B,1.619B,1.773B,1.829B,1.527B,1.472B,2.681B,2.67B,1.578B,1.563B,1.499B,1.508B,1.394B,1.423B,1.395B,1.425B,1.052B,1.203B,1.327B,1.416B,1.062B,1.131B,1.154B,1.142B,781.00M,930.00M,1.035B,1.151B,823.00M,933.00M,950.00M,1.104B,971.00M,1.118B,1.087B,1.135B,971.90M,964.10M,1.051B,953.30M,729.90M,764.10M,818.40M,873.60M,808.40M,759.00M,547.40M,581.70M,351.90M,74.80M
Total Current Assets,37.50B,37.82B,37.06B,35.40B,35.50B,40.20B,36.56B,32.74B,32.86B,32.96B,32.83B,29.30B,28.55B,28.55B,27.97B,27.53B,26.71B,32.36B,30.67B,29.96B,31.48B,29.41B,29.64B,29.82B,29.44B,29.35B,28.79B,29.16B,29.61B,31.68B,39.14B,27.85B,25.76B,26.42B,26.43B,25.00B,23.51B,25.34B,24.40B,24.32B,23.19B,23.73B,23.64B,23.22B,24.47B,24.18B,24.78B,23.92B,22.07B,22.56B,21.71B,20.19B,18.84B,19.91B,19.62B,18.12B,17.21B,17.51B,17.30B,15.75B,15.67B,14.68B,14.16B,13.37B,12.99B,12.14B,12.71B,11.93B,11.84B,12.23B,12.31B,11.36B,11.30B,11.75B,11.10B,10.96B,10.66B,10.21B,10.41B,10.37B,10.63B,10.32B,9.989B,10.06B,9.828B,9.702B,9.613B,9.599B,9.018B,9.882B,10.06B,9.757B,9.611B,9.318B,9.214B,9.169B,8.952B,8.636B,8.60B,8.401B,8.228B,7.903B,8.227B,7.877B,7.706B,7.337B,7.984B,8.287B,8.101B,8.941B,9.087B,8.873B,8.931B,9.059B,9.157B,9.117B,9.012B,8.979B,9.090B,8.632B,8.507B,8.378B,7.989B,7.406B,6.940B,6.893B,5.820B
Properties,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land and Improvements,447.00M,,,,425.00M,,,,412.00M,,,,392.00M,,,,384.00M,,,,392.00M,,,,434.00M,,,,433.00M,,,,335.00M,,,,342.00M,,,,345.00M,,,,334.00M,,,,351.00M,,,,344.00M,,,,356.00M,,,,240.00M,,,,217.00M,,,,196.00M,,,,188.00M,,,,193.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings and Improvements,6.673B,,,,6.486B,,,,5.727B,,,,5.18B,,,,5.03B,,,,5.098B,,,,5.633B,,,,5.436B,,,,4.885B,,,,4.908B,,,,4.898B,,,,4.681B,,,,4.561B,,,,4.306B,,,,4.331B,,,,4.143B,,,,4.026B,,,,3.552B,,,,3.373B,,,,3.403B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Machine, Furniture & Equipment",16.35B,,,,15.12B,,,,13.48B,,,,12.47B,,,,11.72B,,,,11.40B,,,,11.35B,,,,10.88B,,,,9.994B,,,,10.01B,,,,9.941B,,,,9.486B,,,,9.394B,,,,8.561B,,,,8.06B,,,,7.959B,,,,7.597B,,,,6.904B,,,,6.524B,,,,6.292B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,4.812B,27.20B,27.43B,26.88B,2.054B,,,,1.749B,,,,1.426B,,,,1.363B,,,,1.181B,,,,1.241B,,,,1.316B,,,,766.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654.00M,,,,493.00M,,,,605.00M,,,,571.00M,,,,527.00M,,,,581.00M,,,,394.00M,,,,242.00M,,,,217.00M,,,,320.00M,,,,467.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,28.28B,27.20B,27.43B,26.88B,24.08B,21.96B,21.60B,21.82B,21.36B,20.98B,20.31B,19.89B,19.47B,19.38B,19.16B,18.81B,18.49B,18.24B,19.96B,19.63B,18.07B,19.74B,19.22B,18.87B,18.66B,18.39B,18.01B,17.95B,18.06B,17.86B,15.01B,15.52B,15.98B,16.04B,16.36B,16.31B,15.91B,15.80B,15.52B,15.83B,15.68B,15.48B,15.08B,14.79B,15.11B,15.42B,15.64B,15.44B,14.88B,14.61B,14.17B,13.86B,13.74B,13.66B,13.56B,13.50B,13.33B,13.17B,12.78B,12.74B,12.74B,12.15B,12.10B,12.23B,12.08B,11.69B,11.23B,10.93B,10.87B,10.72B,10.78B,10.50B,10.40B,10.54B,10.58B,10.43B,10.36B,10.18B,10.12B,10.24B,10.46B,10.18B,10.10B,9.495B,9.549B,10.90B,10.62B,10.54B,10.47B,10.77B,10.69B,10.60B,10.66B,10.60B,10.46B,10.40B,10.33B,10.32B,10.40B,10.25B,10.19B,10.18B,9.983B,9.907B,9.796B,9.84B,9.811B,9.639B,9.53B,9.751B,9.532B,9.395B,9.233B,9.105B,8.835B,8.753B,8.589B,8.362B,8.087B,7.934B,7.704B,7.255B,6.800B,6.721B,6.161B,5.419B,5.604B
Accumulated D&A,-12.93B,-12.45B,-12.40B,-12.14B,-11.79B,-11.72B,-11.48B,-11.54B,-11.18B,-11.21B,-10.83B,-10.64B,-10.31B,-10.40B,-10.25B,-10.05B,-9.762B,-9.729B,-10.70B,-10.46B,-9.477B,-10.56B,-10.19B,-9.974B,-9.795B,-9.839B,-9.61B,-9.519B,-9.547B,-9.622B,-9.295B,-9.687B,-9.779B,-9.905B,-10.04B,-9.924B,-9.634B,-9.648B,-9.429B,-9.499B,-9.313B,-9.197B,-8.898B,-8.661B,-8.758B,-8.976B,-9.088B,-8.962B,-8.581B,-8.556B,-8.291B,-8.097B,-8.013B,-8.079B,-7.969B,-7.825B,-7.705B,-7.66B,-7.589B,-7.585B,-7.505B,-7.276B,-7.253B,-7.228B,-7.002B,-6.787B,-6.712B,-6.431B,-6.282B,-6.20B,-6.189B,-5.965B,-5.856B,-6.016B,-6.012B,-5.919B,-5.868B,-5.886B,-5.885B,-5.895B,-5.995B,-6.009B,-5.952B,-6.034B,-5.994B,-6.689B,-6.491B,-6.406B,-6.345B,-6.541B,-6.449B,-6.34B,-6.29B,-6.323B,-6.174B,-6.063B,-5.906B,-5.967B,-5.944B,-5.764B,-5.661B,-5.704B,-5.516B,-5.394B,-5.231B,-5.304B,-5.218B,-5.067B,-4.928B,-5.076B,-4.917B,-4.779B,-4.626B,-4.578B,-4.430B,-4.333B,-4.193B,-4.183B,-4.036B,-3.913B,-3.752B,-3.720B,-3.393B,-3.368B,-3.101B,-2.708B,-2.618B
Net PP&E,15.35B,14.76B,15.03B,14.74B,12.30B,10.24B,10.12B,10.28B,10.19B,9.763B,9.475B,9.255B,9.158B,8.989B,8.911B,8.763B,8.732B,8.515B,9.266B,9.175B,8.592B,9.182B,9.026B,8.895B,8.866B,8.549B,8.399B,8.428B,8.518B,8.239B,5.717B,5.835B,6.201B,6.137B,6.329B,6.382B,6.28B,6.148B,6.09B,6.335B,6.364B,6.278B,6.179B,6.13B,6.348B,6.441B,6.55B,6.477B,6.296B,6.053B,5.875B,5.759B,5.725B,5.576B,5.586B,5.677B,5.623B,5.513B,5.187B,5.16B,5.231B,4.873B,4.847B,5.003B,5.08B,4.899B,4.521B,4.495B,4.587B,4.519B,4.593B,4.536B,4.549B,4.52B,4.567B,4.507B,4.487B,4.293B,4.235B,4.343B,4.46B,4.169B,4.145B,3.461B,3.555B,4.208B,4.131B,4.129B,4.127B,4.225B,4.245B,4.255B,4.371B,4.28B,4.283B,4.34B,4.42B,4.349B,4.454B,4.489B,4.532B,4.48B,4.467B,4.513B,4.565B,4.536B,4.593B,4.572B,4.602B,4.675B,4.615B,4.616B,4.607B,4.527B,4.405B,4.420B,4.396B,4.179B,4.051B,4.021B,3.952B,3.534B,3.407B,3.353B,3.060B,2.711B,2.986B
Goodwill,48.06B,48.04B,48.36B,48.39B,48.11B,27.68B,27.70B,28.34B,27.91B,27.92B,27.59B,27.27B,27.06B,27.42B,27.54B,27.41B,27.30B,27.35B,27.93B,27.56B,27.45B,28.17B,28.38B,28.22B,28.17B,28.10B,27.84B,27.52B,27.80B,27.63B,16.12B,16.17B,17.94B,17.98B,18.31B,18.19B,17.72B,17.42B,16.91B,17.07B,16.30B,16.20B,15.75B,15.23B,15.36B,16.07B,16.62B,16.42B,16.12B,15.87B,14.61B,14.30B,14.15B,13.83B,13.49B,,13.01B,,,,10.11B,,,,9.329B,,,,6.981B,,,,6.802B,,,,6.771B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,26.05B,25.69B,25.96B,26.28B,26.42B,15.70B,15.74B,16.00B,15.88B,15.96B,15.88B,15.78B,15.68B,15.80B,15.84B,15.72B,15.60B,15.57B,15.71B,15.57B,15.53B,15.68B,15.72B,15.53B,15.52B,15.50B,15.30B,15.12B,15.19B,15.15B,4.893B,3.742B,3.918B,3.966B,4.141B,4.177B,4.06B,4.07B,3.899B,4.047B,3.538B,3.546B,3.456B,3.321B,3.443B,3.484B,3.847B,3.862B,3.757B,3.709B,3.284B,3.229B,3.216B,3.143B,3.114B,16.28B,3.059B,15.86B,15.26B,11.99B,2.016B,9.666B,9.644B,9.515B,1.895B,9.135B,7.068B,7.004B,,6.937B,6.933B,6.81B,,6.803B,6.696B,6.778B,,6.071B,6.121B,5.752B,5.641B,5.338B,4.839B,1.404B,1.417B,,,,982.00M,,,,,,,,,,,,,,,,544.00M,,,,577.00M,,,,630.00M,,,,700.80M,,,,668.00M,,260.90M,274.10M,268.50M,271.70M,523.40M
Goodwill and Intangibles,74.11B,73.73B,74.32B,74.67B,74.54B,43.38B,43.44B,44.33B,43.79B,43.87B,43.47B,43.05B,42.74B,43.22B,43.38B,43.13B,42.90B,42.93B,43.64B,43.13B,42.98B,43.85B,44.09B,43.74B,43.69B,43.60B,43.14B,42.64B,42.99B,42.78B,21.01B,19.91B,21.86B,21.95B,22.45B,22.37B,21.78B,21.49B,20.81B,21.12B,19.84B,19.75B,19.21B,18.55B,18.81B,19.56B,20.47B,20.28B,19.88B,19.58B,17.89B,17.53B,17.36B,16.97B,16.61B,16.28B,16.07B,15.86B,15.26B,11.99B,12.13B,9.666B,9.644B,9.515B,11.22B,9.135B,7.068B,7.004B,6.981B,6.937B,6.933B,6.81B,6.802B,6.803B,6.696B,6.778B,6.771B,6.071B,6.121B,5.752B,5.641B,5.338B,4.839B,1.404B,1.417B,,,,982.00M,,,,,,,,,,,,,,,,544.00M,,,,577.00M,,,,630.00M,,,,700.80M,,,,668.00M,,260.90M,274.10M,268.50M,271.70M,523.40M
Long Term Investments,3.477B,3.372B,3.293B,3.182B,3.023B,3.143B,2.763B,2.522B,2.372B,2.184B,1.701B,1.593B,1.398B,1.077B,1.00B,967.00M,1.018B,1.008B,1.037B,993.00M,958.00M,1.081B,1.098B,1.105B,1.156B,1.229B,1.147B,1.105B,1.15B,,,,1.035B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Receivables,1.611B,1.699B,1.712B,1.703B,1.646B,1.701B,1.626B,1.763B,1.723B,1.723B,1.817B,1.804B,1.809B,1.765B,1.812B,1.905B,1.961B,1.341B,1.378B,1.462B,1.491B,1.223B,1.273B,1.237B,1.236B,1.583B,1.596B,1.552B,1.599B,,,,2.387B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.541B,2.443B,2.357B,,1.744B,1.724B,1.861B,1.97B,2.308B,2.037B,2.081B,2.102B,3.268B,3.451B,3.53B,3.633B,1.276B,1.296B,1.171B,1.126B,1.668B,1.648B,1.657B,1.69B,872.00M,843.00M,788.00M,719.00M,1.091B,1.109B,1.383B,1.382B,1.217B,1.164B,1.29B,1.283B,1.494B,1.575B,1.62B,1.678B,,,,1.205B,,,,1.065B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,7.668B,7.639B,7.574B,7.678B,7.206B,16.28B,7.071B,7.136B,5.988B,5.848B,5.503B,5.363B,6.048B,6.461B,6.41B,6.282B,6.163B,5.986B,6.784B,6.611B,5.706B,7.024B,7.011B,6.428B,6.205B,6.019B,5.676B,5.626B,5.542B,7.705B,6.342B,5.774B,4.21B,5.697B,5.215B,5.046B,4.952B,5.364B,5.002B,4.535B,4.266B,4.552B,4.069B,3.367B,3.583B,5.354B,5.395B,5.212B,5.205B,3.635B,3.428B,3.452B,3.52B,6.271B,6.51B,6.161B,6.311B,6.097B,5.937B,6.255B,6.031B,7.198B,6.874B,6.748B,4.697B,6.39B,5.034B,4.671B,4.113B,4.807B,4.543B,4.302B,3.15B,3.538B,3.664B,3.44B,2.379B,3.58B,3.547B,3.737B,3.638B,3.257B,3.054B,2.989B,2.968B,4.378B,3.714B,3.612B,2.313B,2.814B,2.725B,2.677B,2.763B,2.816B,2.686B,2.517B,2.586B,2.756B,2.772B,2.805B,2.864B,3.313B,3.152B,3.264B,2.803B,3.584B,3.305B,3.293B,2.648B,2.492B,2.51B,2.447B,1.817B,2.571B,2.569B,2.533B,1.809B,2.282B,2.222B,2.262B,1.472B,1.501B,1.092B,895.30M,822.70M,652.60M,574.70M
