Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.00M,,-16.00M,16.00M,25.00M,-31.00M,27.00M,7.00M,45.00M,-22.00M,177.20M,-77.20M,177.00M,73.30M,-252.10M,-17.40M,-34.80M,-22.00M,-10.10M,-2.20M,-29.70M,1.00M,-34.20M,-9.50M,-7.10M,-8.50M,-16.00M,1.10M
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.00M,,18.00M,-18.00M,-11.00M,260.00M,-261.00M,-92.00M,93.00M,133.00M,-153.20M,14.20M,34.60M,-34.10M,-4.40M,8.80M,132.80M,187.10M,-99.70M,0.30M,159.20M,156.90M,-6.80M,19.60M,36.90M,206.80M,-164.20M,-73.10M
Change in Other Working Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-431.00M,27.00M,-42.00M,446.00M,-456.00M,309.00M,4.00M,143.00M,276.00M,-23.00M,272.00M,88.00M,-337.00M,55.00M,294.00M,-197.00M,,-528.00M,375.00M,-278.00M,431.00M,-204.00M,216.00M,46.00M,-58.00M,34.00M,269.00M,-303.00M,,,,,,,,,,,,,,,,,,,,,,,,,
Changes in Working Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-709.00M,27.00M,-42.00M,446.00M,-349.00M,309.00M,4.00M,143.00M,276.00M,-51.00M,272.00M,88.00M,-337.00M,295.00M,294.00M,-197.00M,,-178.00M,375.00M,-278.00M,431.00M,-20.00M,216.00M,46.00M,-58.00M,-46.00M,269.00M,-162.00M,-141.00M,-64.00M,312.00M,-173.00M,-40.00M,173.00M,495.00M,-167.00M,85.00M,220.70M,55.70M,200.50M,-47.00M,-68.10M,-47.30M,103.30M,0.30M,119.10M,-45.40M,75.90M,116.30M,141.80M,-1.30M,-69.50M,-54.80M
Cash from Operations,957.00M,2.245B,3.272B,1.951B,1.245B,1.499B,2.898B,1.372B,1.891B,1.593B,2.369B,-830.00M,1.135B,1.854B,3.215B,1.011B,1.479B,2.067B,2.745B,1.636B,582.00M,1.358B,2.056B,951.00M,1.131B,1.161B,1.208B,1.004B,550.00M,463.00M,632.00M,831.00M,1.158B,-98.00M,986.00M,788.00M,318.00M,514.00M,1.034B,966.00M,-73.00M,-25.00M,834.00M,643.00M,-1.989B,-990.00M,989.00M,283.00M,532.00M,12.00M,455.00M,360.00M,1.00M,222.00M,139.00M,631.00M,-470.00M,100.00M,-113.00M,176.00M,-610.00M,-322.00M,116.00M,-307.00M,82.00M,201.00M,335.00M,-165.00M,207.00M,3.00M,37.00M,38.00M,-368.00M,53.00M,255.00M,296.00M,743.00M,994.00M,740.00M,273.00M,371.00M,1.142B,847.00M,411.00M,537.00M,900.00M,806.00M,232.00M,978.00M,720.00M,576.00M,309.00M,434.00M,732.00M,346.00M,114.00M,199.00M,530.00M,347.00M,-1.00M,238.00M,451.00M,576.00M,-24.00M,321.00M,389.00M,78.80M,220.30M,-11.20M,6.30M,10.60M,7.60M,125.00M,430.50M,-121.40M,-142.00M,156.70M,337.60M,105.80M,124.50M,235.90M
Net Change in Capital Expenditures,-1.072B,-944.00M,-1.56B,-1.36B,-1.363B,-962.00M,-1.578B,-1.265B,-1.16B,-941.00M,-988.00M,-802.00M,-794.00M,-680.00M,-1.046B,-871.00M,-878.00M,-562.00M,-919.00M,-586.00M,-660.00M,-457.00M,-518.00M,-614.00M,-905.00M,-631.00M,-338.00M,-647.00M,-538.00M,-426.00M,-597.00M,-407.00M,-368.00M,-233.00M,-313.00M,-340.00M,-421.00M,-397.00M,-196.00M,-328.00M,-470.00M,-121.00M,-176.00M,-435.00M,-306.00M,-310.00M,-320.00M,-586.00M,-407.00M,-301.00M,-173.00M,-155.00M,-154.00M,-95.00M,-72.00M,-92.00M,-83.00M,-143.00M,-299.00M,-289.00M,-85.00M,-155.00M,-271.00M,-249.00M,-181.00M,-259.00M,-111.00M,-193.00M,-188.00M,-97.00M,-238.00M,-763.00M,-633.00M,-611.00M,-729.00M,-820.00M,-434.00M,-1.223B,918.00M,-2.401B,-583.00M,-113.00M,-1.31B,-792.00M,-604.00M,-828.00M,-500.00M,-496.00M,-467.00M,-583.00M,-517.00M,-488.00M,-360.00M,-378.00M,-42.00M,-274.00M,-242.00M,-258.00M,-157.00M,-125.00M,-86.00M,-200.00M,-74.00M,-556.20M,-374.80M,-324.90M,-249.10M,-548.80M,-290.30M,-659.70M,-604.40M,-757.10M,-459.80M,-589.40M,-673.90M,-420.90M,-460.40M,-605.60M,-395.30M,-338.60M,-350.00M
Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00M,10.00M,2.00M,74.00M,44.00M,27.00M,58.00M,25.00M,60.00M,18.00M,9.00M,18.00M,6.00M,8.00M,7.00M,19.00M,,,,,,,,,,,,,54.00M,46.00M,,,2.00M,38.00M,10.00M,16.00M,51.00M,12.00M,51.00M,98.00M,95.00M,,-7.00M,7.00M,,,,,,2.00M,2.00M,4.00M,,3.00M,0.00,17.00M,6.00M,38.00M,18.00M,13.00M,68.00M,7.00M,3.00M,90.30M,2.70M,5.70M,17.50M,38.80M,25.00M,35.20M,0.70M,0.60M,6.20M,5.90M,16.00M,0.90M,2.00M,2.40M,2.50M,16.90M,8.20M
Net Change in PP&E,-1.072B,-944.00M,-1.56B,-1.36B,-1.363B,-962.00M,-1.578B,-1.265B,-1.16B,-941.00M,-988.00M,-802.00M,-794.00M,-680.00M,-1.046B,-871.00M,-878.00M,-562.00M,-919.00M,-586.00M,-660.00M,-457.00M,-518.00M,-614.00M,-905.00M,-631.00M,-338.00M,-647.00M,-538.00M,-426.00M,-597.00M,-407.00M,-368.00M,-233.00M,-313.00M,-340.00M,-421.00M,-397.00M,-196.00M,-328.00M,-456.00M,-111.00M,-174.00M,-361.00M,-262.00M,-283.00M,-262.00M,-561.00M,-347.00M,-283.00M,-164.00M,-137.00M,-148.00M,-87.00M,-65.00M,-73.00M,342.00M,-143.00M,-299.00M,-289.00M,149.00M,-155.00M,-271.00M,-249.00M,-166.00M,-259.00M,-111.00M,-193.00M,-134.00M,-51.00M,-238.00M,-763.00M,-631.00M,-573.00M,-719.00M,-804.00M,-383.00M,-1.211B,969.00M,-2.303B,-488.00M,-113.00M,-1.317B,-785.00M,-604.00M,-828.00M,-500.00M,-496.00M,-467.00M,-581.00M,-515.00M,-484.00M,-360.00M,-375.00M,-42.00M,-257.00M,-236.00M,-220.00M,-139.00M,-112.00M,-18.00M,-193.00M,-71.00M,-465.90M,-372.10M,-319.20M,-231.60M,-510.00M,-265.30M,-624.50M,-603.70M,-756.50M,-453.60M,-583.50M,-657.90M,-420.00M,-458.40M,-603.20M,-392.80M,-321.70M,-341.80M
Net Divestitures (Acquisitions),279.00M,-81.00M,-89.00M,,28.00M,0.00,0.00,,-450.00M,-173.00M,0.00,-622.00M,0.00,0.00,0.00,0.00,0.00,-500.00M,,,0.00,0.00,,,-47.00M,0.00,-360.00M,,0.00,0.00,0.00,,0.00,0.00,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-233.00M,0.00,-1.584B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Net Change in Investments,0.00,0.00,0.00,206.00M,276.00M,42.00M,3.00M,300.00M,132.00M,-213.00M,-4.00M,-256.00M,1.023B,-229.00M,-80.00M,265.00M,-29.00M,49.00M,-50.00M,-229.00M,632.00M,-1.147B,242.00M,11.00M,8.00M,17.00M,87.00M,46.00M,23.00M,3.00M,9.00M,26.00M,-18.00M,13.00M,11.00M,-240.00M,-215.00M,-426.00M,-98.00M,73.00M,142.00M,-121.00M,49.00M,72.00M,726.00M,-824.00M,2.00M,4.00M,317.00M,-49.00M,0.00,34.00M,0.00,0.00,0.00,0.00,,,,,350.00M,60.00M,-60.00M,,181.00M,2.00M,273.00M,,-71.00M,0.00,0.00,24.00M,-348.00M,95.00M,53.00M,239.00M,-92.00M,330.00M,-91.00M,650.00M,41.00M,40.00M,185.00M,415.00M,-46.00M,-52.00M,-1.00M,1.00M,9.00M,-106.00M,100.00M,2.00M,3.00M,-3.00M,-3.00M,2.00M,26.00M,234.00M,156.00M,-8.00M,-503.00M,,,,,,,,,,,,,,,,,-266.50M,264.90M,-181.40M,-83.50M
Net Other Investing Changes,26.00M,-100.00M,83.00M,49.00M,39.00M,17.00M,32.00M,38.00M,173.00M,32.00M,34.00M,-28.00M,216.00M,22.00M,14.00M,5.00M,-272.00M,4.00M,14.00M,3.00M,-10.00M,21.00M,-3.00M,40.00M,-4.00M,-3.00M,50.00M,-29.00M,-18.00M,-5.00M,-64.00M,32.00M,-26.00M,8.00M,4.00M,4.00M,-33.00M,21.00M,32.00M,-38.00M,-45.00M,-13.00M,-7.00M,17.00M,608.00M,1.00M,1.00M,7.00M,-160.00M,50.00M,86.00M,28.00M,101.00M,-102.00M,2.00M,11.00M,82.00M,-510.00M,211.00M,211.00M,-96.00M,-50.00M,45.00M,57.00M,-79.00M,44.00M,20.00M,28.00M,93.00M,1.00M,9.00M,21.00M,458.00M,-453.00M,0.00,-13.00M,1.00M,,,,,16.00M,14.00M,-1.00M,1.00M,2.00M,8.00M,,,,,,,,,,,0.00,115.00M,,,,,-0.10M,0.10M,0.10M,-0.80M,,,-43.10M,-1.90M,-362.60M,-193.20M,5.10M,-57.00M,-0.10M,0.10M,264.90M,-313.10M,0.10M,
Cash from Investing,-767.00M,-1.125B,-1.566B,-1.105B,-1.02B,-903.00M,-1.543B,-927.00M,-1.305B,-1.295B,-958.00M,-1.708B,445.00M,-887.00M,-1.112B,-601.00M,-1.179B,-1.009B,-955.00M,-812.00M,-38.00M,-1.583B,-279.00M,-563.00M,-948.00M,-617.00M,-561.00M,-630.00M,-533.00M,-428.00M,-652.00M,-349.00M,-412.00M,-212.00M,-298.00M,-576.00M,-669.00M,-802.00M,-262.00M,-293.00M,-359.00M,-245.00M,-132.00M,-272.00M,3.513B,-1.106B,-259.00M,-550.00M,-190.00M,-282.00M,-78.00M,-75.00M,-47.00M,-189.00M,-63.00M,-62.00M,841.00M,-653.00M,-88.00M,-78.00M,403.00M,-145.00M,-286.00M,-192.00M,-64.00M,-213.00M,182.00M,-165.00M,-112.00M,-50.00M,-229.00M,-718.00M,-521.00M,-931.00M,-666.00M,-578.00M,-707.00M,-1.096B,-706.00M,-1.653B,-447.00M,-627.00M,-1.118B,-371.00M,-649.00M,-878.00M,-493.00M,-495.00M,-458.00M,-687.00M,-415.00M,-482.00M,-357.00M,-378.00M,-45.00M,-255.00M,-210.00M,14.00M,132.00M,-120.00M,-521.00M,-601.00M,-71.00M,-466.00M,-372.00M,-319.10M,-232.40M,-510.00M,-265.30M,-667.60M,-605.60M,-1.119B,-646.80M,-578.40M,-714.90M,-420.10M,-458.30M,-604.80M,-441.00M,-503.00M,-425.30M
Net Change in Long Term Debt,-515.00M,-355.00M,-1.165B,-1.285B,-311.00M,-648.00M,-1.849B,-244.00M,-439.00M,-255.00M,-276.00M,-288.00M,-306.00M,-254.00M,-690.00M,-459.00M,-407.00M,-1.517B,-333.00M,-301.00M,-443.00M,-1.008B,-1.065B,-412.00M,-493.00M,-347.00M,-322.00M,-299.00M,-1.454B,-669.00M,-374.00M,-367.00M,-3.126B,-251.00M,-580.00M,-215.00M,-1.399B,-701.00M,-1.254B,-368.00M,-341.00M,879.00M,-281.00M,-182.00M,-321.00M,1.021B,18.00M,118.00M,123.00M,66.00M,-111.00M,-129.00M,-78.00M,-181.00M,-74.00M,-143.00M,328.00M,617.00M,-100.00M,85.00M,698.00M,61.00M,-42.00M,-46.00M,125.00M,-49.00M,733.00M,315.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Change in Short Term Debt,0.00,0.00,0.00,1.75B,0.00,0.00,0.00,0.00,-2.004B,0.00,2.004B,,0.00,0.00,382.00M,68.00M,,0.00,0.00,,,-273.00M,273.00M,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Debt Issuance,-515.00M,-355.00M,-1.165B,465.00M,-311.00M,-648.00M,-1.849B,-244.00M,-2.443B,-255.00M,1.728B,-288.00M,-306.00M,-254.00M,-308.00M,-391.00M,-407.00M,-1.517B,-333.00M,-301.00M,-443.00M,-1.281B,-792.00M,-412.00M,-493.00M,-347.00M,-322.00M,-299.00M,-1.454B,-669.00M,-374.00M,-367.00M,-3.126B,-251.00M,-580.00M,-215.00M,-1.399B,-701.00M,-1.254B,-368.00M,-341.00M,879.00M,-281.00M,-182.00M,-621.00M,1.021B,18.00M,118.00M,123.00M,66.00M,-111.00M,-129.00M,-78.00M,-181.00M,-74.00M,-143.00M,328.00M,617.00M,-100.00M,85.00M,698.00M,61.00M,-42.00M,-46.00M,-27.00M,-49.00M,733.00M,315.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock Payments,-225.00M,-209.00M,-268.00M,-1.325B,-325.00M,-325.00M,-600.00M,-325.00M,-327.00M,-550.00M,-600.00M,-200.00M,-300.00M,-500.00M,-1.026B,-775.00M,-425.00M,-425.00M,-925.00M,-425.00M,-500.00M,-250.00M,-225.00M,-125.00M,-157.00M,-93.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Common Equity Issued (Purchased),-225.00M,-209.00M,-268.00M,-1.325B,-325.00M,-325.00M,-600.00M,-325.00M,-327.00M,-550.00M,-600.00M,-200.00M,-300.00M,-500.00M,-1.026B,-775.00M,-425.00M,-425.00M,-925.00M,-425.00M,-500.00M,-250.00M,-225.00M,-125.00M,-157.00M,-93.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00M,-4.00M,-9.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Preferred Equity Issued (Purchased),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00M,-4.00M,-9.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Common Dividends Paid,-259.00M,-260.00M,-228.00M,-233.00M,-239.00M,-240.00M,-213.00M,-217.00M,-215.00M,-219.00M,-148.00M,-149.00M,-149.00M,-150.00M,-103.00M,-107.00M,-105.00M,-107.00M,-72.00M,-75.00M,-75.00M,-75.00M,-50.00M,-51.00M,-51.00M,-51.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dividends Paid,-259.00M,-260.00M,-228.00M,-233.00M,-239.00M,-240.00M,-213.00M,-217.00M,-215.00M,-219.00M,-148.00M,-149.00M,-149.00M,-150.00M,-103.00M,-107.00M,-105.00M,-107.00M,-72.00M,-75.00M,-75.00M,-75.00M,-50.00M,-51.00M,-51.00M,-51.00M,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.00M,19.00M,-19.00M,,-17.00M,-3.00M,-19.00M,,-17.00M,-3.00M,-17.00M,-3.00M,-3.00M,-17.00M,-3.00M,-18.00M,-4.00M,-18.00M,-4.00M,-17.00M,-4.00M,-17.00M,-4.00M,-18.00M,-4.00M,-18.00M,-4.00M,-18.00M,-4.00M,-37.00M,-23.00M,-38.00M,-22.00M,-37.00M,-23.00M,-38.00M,-22.00M,-37.00M,-23.00M,-37.40M,-22.60M,-37.60M,-22.60M,-50.00M,-28.30M,-29.90M,-14.90M,-29.80M,-14.80M,-29.80M,-12.70M,-27.70M,-13.60M,-29.50M,-15.00M,-54.50M,-14.60M
Cash from Other Financing Activities,1.841B,-627.00M,-1.00M,484.00M,750.00M,5.00M,3.085B,-30.00M,2.735B,-62.00M,-2.054B,2.317B,309.00M,-87.00M,-712.00M,599.00M,240.00M,1.067B,-289.00M,11.00M,52.00M,979.00M,-47.00M,55.00M,344.00M,0.00,4.00M,145.00M,1.579B,369.00M,22.00M,139.00M,2.73B,13.00M,-134.00M,-8.00M,1.206B,-9.00M,3.00M,1.00M,-16.00M,-64.00M,-11.00M,-3.00M,1.00B,-4.00M,-1.00M,-7.00M,560.00M,-3.00M,-529.00M,-97.00M,-125.00M,0.00,0.00,-5.00M,-52.00M,-44.00M,-4.00M,,-18.00M,-3.00M,-2.00M,-12.00M,-2.00M,-42.00M,-264.00M,-97.00M,-400.00M,-40.00M,445.00M,-17.00M,-3.033B,2.162B,761.00M,93.00M,-507.00M,181.00M,-505.00M,1.551B,467.00M,-270.00M,636.00M,61.00M,-427.00M,304.00M,-173.00M,-20.00M,-27.00M,-35.00M,-1.00M,-165.00M,-336.00M,-228.00M,-103.00M,-69.00M,-71.00M,-40.00M,-159.00M,-154.00M,-215.00M,75.00M,-164.00M,467.60M,49.40M,969.40M,44.30M,620.90M,283.80M,687.30M,553.80M,807.10M,217.50M,894.60M,836.70M,616.30M,279.40M,322.20M,320.60M,68.20M,111.70M
Cash from Financing,842.00M,-1.451B,-1.662B,-609.00M,-125.00M,-1.208B,423.00M,-816.00M,-250.00M,-1.086B,-1.074B,1.68B,-446.00M,-991.00M,-2.149B,-674.00M,-697.00M,-982.00M,-1.619B,-790.00M,-966.00M,-627.00M,-1.114B,-533.00M,-357.00M,-491.00M,-318.00M,-154.00M,125.00M,-300.00M,-352.00M,-228.00M,-396.00M,-238.00M,-714.00M,-223.00M,-193.00M,-710.00M,-1.251B,-367.00M,-357.00M,815.00M,-292.00M,-185.00M,571.00M,1.017B,17.00M,111.00M,683.00M,63.00M,-640.00M,-226.00M,-203.00M,-181.00M,-74.00M,-148.00M,276.00M,573.00M,-104.00M,85.00M,680.00M,58.00M,-44.00M,-58.00M,-35.00M,-76.00M,441.00M,218.00M,217.00M,-43.00M,426.00M,-17.00M,313.00M,2.159B,744.00M,90.00M,-510.00M,164.00M,-508.00M,1.533B,463.00M,-370.00M,632.00M,44.00M,-431.00M,69.00M,-177.00M,-38.00M,-31.00M,-53.00M,-5.00M,-183.00M,-340.00M,-265.00M,-126.00M,-107.00M,-93.00M,-77.00M,-182.00M,-192.00M,-237.00M,38.00M,-187.00M,430.20M,26.80M,931.80M,21.70M,570.90M,255.50M,657.40M,538.90M,777.30M,202.70M,864.80M,824.00M,588.60M,265.80M,292.70M,305.60M,13.70M,97.10M
Beginning Cash,2.698B,3.029B,2.985B,2.748B,2.648B,3.26B,1.482B,1.853B,1.517B,2.305B,1.968B,2.826B,1.638B,1.662B,1.708B,1.972B,2.369B,2.293B,2.122B,2.088B,2.51B,3.362B,2.699B,2.844B,3.018B,2.965B,2.636B,2.416B,2.274B,2.539B,2.911B,2.657B,2.307B,2.855B,2.881B,2.892B,3.436B,4.434B,4.913B,4.607B,5.396B,4.851B,4.441B,4.255B,2.16B,3.239B,2.492B,2.648B,2.17B,4.00B,2.093B,2.034B,2.283B,2.431B,2.429B,2.008B,1.361B,1.341B,1.646B,1.463B,990.00M,1.399B,1.613B,2.17B,2.727B,2.815B,1.857B,1.969B,1.657B,1.747B,1.513B,2.21B,2.786B,1.505B,1.172B,1.364B,1.623B,1.19B,1.664B,1.511B,1.124B,979.00M,618.00M,534.00M,1.077B,986.00M,850.00M,1.151B,662.00M,682.00M,526.00M,882.00M,1.145B,1.056B,881.00M,1.129B,1.233B,766.00M,469.00M,782.00M,1.302B,1.414B,1.096B,,1.180B,,,,50.40M,,,,763.70M,,,,68.50M,,,,529.70M
