Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Interest Expense,,70.00M,75.00M,83.00M,,73.00M,79.00M,92.00M,,100.00M,103.00M,94.00M,93.00M,95.00M,93.00M,107.00M,102.00M,121.00M,127.00M,131.00M,137.00M,154.00M,173.00M,186.00M,206.00M,213.00M,213.00M,220.00M,234.00M,243.00M,256.00M,272.00M,411.00M,229.00M,233.00M,221.00M,435.00M,249.00M,255.00M,246.00M,261.00M,217.00M,324.00M,308.00M,257.00M,140.00M,141.00M,147.00M,138.00M,132.00M,182.00M,200.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00M,4.00M,9.00M,10.00M,19.00M,21.00M,25.00M,27.00M,39.00M,42.00M,37.00M,10.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-73.00M,-70.00M,-75.00M,-83.00M,-67.00M,-73.00M,-79.00M,-92.00M,-99.00M,-100.00M,-103.00M,-94.00M,-93.00M,-95.00M,-93.00M,-107.00M,-102.00M,-121.00M,-127.00M,-131.00M,-137.00M,-154.00M,-173.00M,-186.00M,-206.00M,-213.00M,-213.00M,-220.00M,-234.00M,-243.00M,-256.00M,-272.00M,-411.00M,-229.00M,-233.00M,-221.00M,-435.00M,-249.00M,-255.00M,-246.00M,-257.00M,-213.00M,-315.00M,-298.00M,-238.00M,-119.00M,-116.00M,-120.00M,-99.00M,-90.00M,-145.00M,-190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,454.00M,476.00M,413.00M,429.00M,418.00M,455.00M,438.00M,410.00M,379.00M,431.00M,427.00M,370.00M,116.00M,527.00M,485.00M,493.00M,393.00M,565.00M,573.00M,502.00M,495.00M,515.00M,408.00M,379.00M,360.00M,439.00M,365.00M,356.00M,359.00M,421.00M,396.00M,416.00M,363.00M,424.00M,412.00M,429.00M,434.00M,433.00M,403.00M,376.00M,,400.00M,388.00M,393.00M,,117.00M,102.00M,111.00M,94.00M,186.00M,239.00M,1.158B,2.436B,2.79B,3.642B,3.35B,-1.054B,3.74B,3.555B,3.863B,,3.514B,1.838B,1.543B,,1.267B,797.00M,1.133B,,-229.00M,-282.00M,-296.00M,5.95B,-123.00M,-343.00M,-362.00M,-307.00M,-666.00M,-205.00M,-178.00M,-332.00M,4.368B,-181.00M,-175.00M,,4.261B,-182.00M,-181.00M,-168.00M,-201.00M,-183.00M,-167.00M,-151.00M,-157.00M,-156.00M,-154.00M,-141.00M,-81.00M,-147.00M,-173.00M,-170.00M,-219.00M,-185.00M,-163.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,942.00M,1.015B,951.00M,856.00M,886.00M,990.00M,949.00M,837.00M,835.00M,930.00M,894.00M,774.00M,576.00M,993.00M,922.00M,881.00M,795.00M,1.028B,994.00M,888.00M,906.00M,991.00M,848.00M,752.00M,751.00M,886.00M,773.00M,713.00M,736.00M,861.00M,789.00M,796.00M,-5.743B,3.172B,2.98B,2.901B,-5.659B,3.066B,2.951B,2.797B,2.821B,2.891B,3.177B,2.839B,2.464B,1.755B,1.744B,1.724B,1.664B,1.84B,1.819B,2.64B,4.24B,4.583B,4.372B,4.204B,4.892B,4.548B,4.378B,4.663B,6.13B,4.294B,4.202B,3.917B,4.196B,3.738B,3.30B,3.69B,15.85B,-187.00M,-241.00M,-251.00M,15.98B,-34.00M,-225.00M,-245.00M,-222.00M,-692.00M,-83.00M,-60.00M,-243.00M,13.01B,-70.00M,-73.00M,2.036B,12.74B,-89.00M,-90.00M,-112.00M,-141.00M,-129.00M,-135.00M,-106.00M,-136.00M,-120.00M,-149.00M,-172.00M,-89.00M,-188.00M,-210.00M,-217.00M,-246.00M,-230.00M,-159.00M,1.892B,1.824B,1.997B,1.856B,1.952B,1.870B,1.858B,1.718B,1.599B,1.529B,1.468B,1.384B,1.426B,781.20M,721.50M,702.20M,732.60M,,,,,,,,,,,,,,,,,,,,,,
Operating Income,1.399B,2.071B,2.128B,1.02B,1.091B,1.645B,1.684B,844.00M,1.161B,1.823B,1.982B,999.00M,1.064B,1.969B,2.423B,1.54B,1.717B,2.213B,2.474B,1.398B,-761.00M,1.405B,1.609B,669.00M,861.00M,1.669B,948.00M,324.00M,473.00M,1.457B,327.00M,370.00M,814.00M,863.00M,625.00M,-85.00M,402.00M,1.209B,934.00M,122.00M,1.633B,333.00M,59.00M,490.00M,-468.00M,653.00M,693.00M,317.00M,468.00M,929.00M,966.00M,675.00M,6.00M,168.00M,369.00M,-485.00M,-675.00M,-240.00M,-129.00M,-957.00M,-2.256B,-423.00M,-241.00M,-388.00M,-365.00M,-81.00M,196.00M,-535.00M,-8.662B,2.472B,2.61B,2.271B,-9.491B,2.373B,2.749B,2.767B,2.993B,3.203B,2.903B,2.724B,2.994B,-6.225B,2.64B,2.54B,552.00M,-6.071B,2.549B,2.534B,2.681B,2.804B,2.545B,2.32B,2.559B,2.598B,2.201B,2.228B,2.486B,2.536B,2.266B,2.247B,2.478B,2.458B,2.251B,2.232B,121.50M,43.00M,-178.60M,-194.90M,-162.50M,-265.50M,-199.30M,-236.80M,26.70M,50.60M,-115.10M,-311.90M,-73.60M,110.30M,48.10M,70.60M,190.60M,-5.100B,2.038B,1.858B,1.882B,-4.450B,1.679B,1.664B,1.603B,-3.347B,1.453B,1.198B,1.102B,-3.406B,1.110B,1.120B,1.123B,-3.041B,1.170B,1.127B,1.110B,-2.909B,1.079B
Non-Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00M,4.00M,9.00M,10.00M,19.00M,21.00M,25.00M,27.00M,39.00M,42.00M,37.00M,10.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,,70.00M,75.00M,83.00M,,73.00M,79.00M,92.00M,,100.00M,103.00M,94.00M,93.00M,95.00M,93.00M,107.00M,102.00M,121.00M,127.00M,131.00M,137.00M,154.00M,173.00M,186.00M,206.00M,213.00M,213.00M,220.00M,234.00M,243.00M,256.00M,272.00M,411.00M,229.00M,233.00M,221.00M,435.00M,249.00M,255.00M,246.00M,261.00M,217.00M,324.00M,308.00M,257.00M,140.00M,141.00M,147.00M,138.00M,132.00M,182.00M,200.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-73.00M,-70.00M,-75.00M,-83.00M,-67.00M,-73.00M,-79.00M,-92.00M,-99.00M,-100.00M,-103.00M,-94.00M,-93.00M,-95.00M,-93.00M,-107.00M,-102.00M,-121.00M,-127.00M,-131.00M,-137.00M,-154.00M,-173.00M,-186.00M,-206.00M,-213.00M,-213.00M,-220.00M,-234.00M,-243.00M,-256.00M,-272.00M,-411.00M,-229.00M,-233.00M,-221.00M,-435.00M,-249.00M,-255.00M,-246.00M,-257.00M,-213.00M,-315.00M,-298.00M,-238.00M,-119.00M,-116.00M,-120.00M,-99.00M,-90.00M,-145.00M,-190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,72.00M,-54.00M,-146.00M,9.00M,321.00M,116.00M,-219.00M,-20.00M,-19.00M,53.00M,-48.00M,-56.00M,-302.00M,26.00M,20.00M,1.00M,-82.00M,-20.00M,19.00M,-81.00M,-242.00M,-672.00M,-138.00M,-148.00M,-180.00M,-93.00M,-49.00M,-101.00M,-228.00M,-162.00M,-235.00M,29.00M,14.00M,-87.00M,-197.00M,-83.00M,53.00M,-594.00M,-211.00M,-122.00M,-1.731B,-299.00M,3.00M,-112.00M,-2.172B,-86.00M,-1.26B,-6.125B,1.211B,,7.00M,29.00M,-7.00M,-31.00M,19.00M,,0.00,,3.00M,-4.00M,147.00M,-25.00M,1.00M,-29.00M,42.00M,9.00M,289.00M,-23.00M,283.00M,-211.00M,-28.00M,-66.00M,243.00M,-120.00M,46.00M,-21.00M,-56.00M,-56.00M,90.00M,-377.00M,117.00M,5.00M,29.00M,19.00M,3.00M,51.00M,2.00M,-3.00M,11.00M,0.00,-50.00M,6.00M,-13.00M,-268.00M,-583.00M,-4.00M,-4.00M,,-10.00M,-1.00M,14.00M,-434.00M,,-104.00M,25.40M,-77.90M,21.20M,38.70M,36.60M,33.70M,8.40M,-27.00M,24.90M,13.50M,14.80M,4.80M,14.20M,17.20M,8.00M,29.30M,20.70M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-73.00M,-70.00M,-75.00M,-83.00M,-67.00M,-73.00M,-79.00M,-92.00M,-99.00M,-100.00M,-103.00M,-94.00M,-93.00M,-95.00M,-93.00M,-107.00M,-102.00M,-121.00M,-127.00M,-131.00M,-137.00M,-154.00M,-173.00M,-186.00M,-206.00M,-213.00M,-213.00M,-220.00M,-234.00M,-243.00M,-256.00M,-272.00M,-411.00M,-229.00M,-233.00M,-221.00M,-435.00M,-249.00M,-255.00M,-246.00M,-257.00M,-213.00M,-315.00M,-298.00M,-238.00M,-119.00M,-116.00M,-120.00M,-99.00M,-90.00M,-145.00M,-190.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,1.398B,1.947B,1.907B,946.00M,1.345B,1.688B,1.386B,732.00M,1.043B,1.776B,1.831B,849.00M,669.00M,1.90B,2.35B,1.434B,1.533B,2.072B,2.366B,1.186B,-1.14B,579.00M,1.298B,335.00M,475.00M,1.363B,686.00M,3.00M,11.00M,1.052B,-164.00M,127.00M,417.00M,547.00M,195.00M,-389.00M,20.00M,366.00M,468.00M,-246.00M,-355.00M,-179.00M,-253.00M,-794.00M,-1.438B,-50.00M,-1.163B,-6.39B,-105.00M,363.00M,1.691B,-130.00M,-2.706B,29.00M,-2.201B,-2.09B,-1.137B,-1.107B,-400.00M,-1.215B,-2.313B,-652.00M,-429.00M,-598.00M,-512.00M,-254.00M,301.00M,-724.00M,-586.00M,-527.00M,-287.00M,-602.00M,-1.135B,-408.00M,-99.00M,-222.00M,364.00M,554.00M,376.00M,580.00M,569.00M,610.00M,358.00M,320.00M,538.00M,595.00M,322.00M,313.00M,418.00M,495.00M,317.00M,205.00M,398.00M,263.00M,-446.00M,123.00M,337.00M,406.00M,,-22.00M,121.00M,-390.00M,-123.00M,-225.00M,78.90M,-86.50M,-206.30M,-194.10M,-164.30M,-280.00M,-235.20M,-293.40M,22.40M,36.70M,-131.50M,-327.50M,-77.80M,116.20M,47.60M,98.10M,205.90M,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,300.00M,452.00M,464.00M,216.00M,326.00M,366.00M,350.00M,175.00M,745.00M,617.00M,645.00M,288.00M,225.00M,641.00M,804.00M,488.00M,553.00M,757.00M,881.00M,440.00M,-428.00M,222.00M,497.00M,122.00M,-8.004B,-6.00M,1.00M,-4.00M,5.00M,5.00M,4.00M,3.00M,-8.00M,-2.00M,-3.00M,-71.00M,1.00M,3.00M,1.00M,10.00M,-330.00M,-18.00M,4.00M,0.00,0.00,0.00,-119.00M,0.00,-35.00M,143.00M,99.00M,0.00,-725.00M,-23.00M,4.00M,-21.00M,98.00M,23.00M,-18.00M,-144.00M,-107.00M,-6.00M,1.534B,-215.00M,-185.00M,-90.00M,117.00M,-258.00M,-223.00M,-201.00M,-101.00M,-205.00M,-401.00M,-149.00M,-9.00M,-89.00M,147.00M,219.00M,153.00M,228.00M,225.00M,246.00M,142.00M,126.00M,211.00M,233.00M,127.00M,123.00M,164.00M,193.00M,128.00M,80.00M,160.00M,101.00M,-170.00M,53.00M,136.00M,155.00M,,-4.00M,49.00M,-140.00M,-45.00M,-84.00M,18.50M,-38.80M,-72.40M,-67.80M,-57.60M,-99.90M,-83.60M,-105.80M,9.30M,17.50M,-47.40M,-119.70M,-26.20M,42.10M,16.30M,33.90M,72.80M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,1.098B,1.495B,1.443B,730.00M,1.019B,1.322B,1.036B,557.00M,298.00M,1.159B,1.186B,561.00M,444.00M,1.259B,1.546B,946.00M,980.00M,1.315B,1.485B,746.00M,-712.00M,357.00M,801.00M,213.00M,8.479B,1.369B,685.00M,7.00M,6.00M,1.047B,-168.00M,124.00M,425.00M,549.00M,198.00M,-318.00M,19.00M,363.00M,467.00M,-256.00M,-25.00M,-161.00M,-257.00M,-794.00M,-1.438B,-50.00M,-1.044B,-6.39B,-70.00M,220.00M,1.592B,-130.00M,-1.981B,52.00M,-2.205B,-2.069B,-1.235B,-1.13B,-382.00M,-1.071B,-2.206B,-646.00M,-1.963B,-383.00M,-327.00M,-164.00M,184.00M,-466.00M,-363.00M,-326.00M,-186.00M,-397.00M,-734.00M,-259.00M,-90.00M,-133.00M,217.00M,335.00M,223.00M,352.00M,344.00M,364.00M,216.00M,194.00M,327.00M,362.00M,195.00M,190.00M,254.00M,302.00M,189.00M,125.00M,238.00M,162.00M,-276.00M,70.00M,201.00M,251.00M,-11.00M,-18.00M,72.00M,-250.00M,-78.00M,-141.00M,60.40M,-47.70M,-133.90M,-126.30M,-106.70M,-180.10M,-151.60M,-187.60M,13.10M,19.20M,-84.10M,-207.80M,-51.60M,74.10M,31.30M,64.20M,133.10M,190.80M,85.00M,85.20M,100.00M,103.30M,56.10M,88.30M,59.10M,58.80M,26.40M,125.50M,53.00M,22.20M,-6.40M,1.90M,29.50M,84.20M,41.20M,73.90M,60.20M,71.70M,52.80M
