Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1988-06,1987-06,1986-06,1985-06,1984-06
Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.00M,,,579.00M,333.00M,1.509B,750.00M,1.021B,1.046B,933.00M,,1.119B,368.00M,358.00M,,347.00M,357.00M,1.01B,,205.00M,933.00M,153.00M,,191.00M,165.00M,120.00M,518.00M,160.00M,240.00M,589.00M,857.00M,612.00M,,,532.00M,403.00M,339.00M,402.00M,276.00M,,221.00M,210.00M,283.00M,341.00M,291.00M,266.00M,247.00M,237.00M,244.00M,205.00M,181.00M,195.00M,222.00M,178.00M,210.00M,224.00M,253.70M,258.30M,497.70M,526.00M,364.80M,305.30M,484.50M,468.80M,410.20M,339.20M,275.50M,285.70M,198.80M,181.00M,151.20M,155.10M,150.30M,143.90M,129.30M,135.90M,131.50M,131.30M,60.20M,52.40M,30.90M
Total Current Assets,8.249B,6.944B,7.134B,7.196B,6.34B,6.726B,7.641B,7.724B,7.804B,7.083B,7.177B,6.88B,7.451B,7.329B,7.638B,9.306B,9.056B,11.97B,11.44B,12.27B,9.158B,11.00B,10.52B,9.746B,9.651B,8.951B,8.895B,8.641B,8.272B,8.163B,8.457B,8.299B,7.729B,7.329B,8.063B,7.993B,7.307B,7.321B,7.868B,8.361B,7.991B,8.862B,8.299B,8.057B,8.974B,5.488B,7.167B,5.329B,5.24B,5.645B,6.249B,6.134B,5.385B,5.881B,5.902B,5.107B,,4.283B,3.786B,3.841B,,3.314B,3.816B,4.684B,,4.962B,5.087B,3.716B,,3.844B,3.513B,3.236B,3.567B,4.29B,3.256B,2.93B,3.938B,3.452B,3.781B,3.89B,3.536B,2.672B,2.74B,2.466B,2.857B,3.362B,3.251B,2.867B,3.489B,2.867B,2.871B,2.687B,3.112B,3.282B,3.132B,2.747B,3.141B,3.014B,2.811B,2.76B,3.197B,3.223B,2.763B,2.574B,2.736B,2.822B,1.581B,1.499B,1.693B,1.698B,1.472B,1.216B,1.621B,1.892B,1.149B,882.20M,1.011B,1.018B,1.045B,886.40M,1.383B,1.475B,1.651B,1.180B,582.90M,614.20M,517.00M
"Machine, Furniture & Equipment",3.276B,,,,3.361B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.171B,,,23.73B,3.127B,,,,3.948B,3.065B,2.649B,2.597B,2.784B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Properties,11.35B,53.82B,53.08B,51.58B,10.66B,,,,7.665B,,,,6.581B,,,,5.862B,,,,5.198B,,,,4.596B,,,,4.254B,,,,3.49B,,,,,,,,,,,,18.24B,10.26B,10.40B,10.18B,9.525B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,1.019B,,,,1.177B,,,,1.16B,,,,1.059B,,,,879.00M,,,,617.00M,,,,381.00M,,,,253.00M,,,,77.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,53.96B,53.82B,53.08B,51.58B,50.15B,44.12B,43.22B,41.68B,40.66B,39.67B,38.70B,37.75B,36.83B,36.21B,35.69B,34.74B,33.91B,33.17B,32.62B,31.79B,31.27B,30.68B,30.60B,30.14B,29.65B,28.78B,28.34B,27.73B,27.37B,26.94B,26.75B,26.13B,25.70B,25.43B,25.14B,24.83B,24.47B,24.02B,23.94B,23.73B,23.36B,23.24B,23.16B,22.79B,22.18B,13.33B,13.05B,12.78B,12.31B,11.95B,11.62B,22.27B,22.75B,23.01B,23.20B,23.52B,,24.44B,26.41B,26.16B,,25.93B,26.56B,25.93B,,25.50B,25.38B,25.05B,,25.02B,25.09B,24.93B,24.18B,23.37B,22.89B,22.66B,14.02B,20.87B,12.65B,12.57B,18.74B,18.46B,17.78B,16.55B,15.87B,9.321B,14.79B,14.36B,13.91B,13.49B,12.94B,12.42B,11.96B,11.69B,11.35B,13.05B,12.83B,12.50B,11.92B,11.92B,11.92B,11.88B,12.08B,12.09B,12.06B,11.97B,11.90B,11.83B,11.49B,11.40B,11.05B,10.53B,9.646B,9.460B,9.490B,9.255B,8.936B,8.746B,8.397B,8.123B,7.794B,7.462B,6.295B,6.093B,5.464B,5.021B,4.595B
Accumulated D&A,-17.03B,-17.21B,-17.00B,-16.40B,-15.82B,-15.55B,-15.10B,-14.58B,-14.10B,-13.77B,-13.34B,-12.93B,-12.46B,-12.11B,-11.71B,-11.31B,-10.87B,-10.56B,-10.14B,-9.765B,-9.34B,-8.959B,-8.548B,-8.167B,-7.792B,-7.478B,-7.286B,-6.938B,-6.656B,-6.337B,-6.141B,-5.797B,-5.472B,-5.172B,-4.82B,-4.499B,-4.164B,-3.836B,-3.542B,-3.247B,-2.924B,-2.584B,-2.243B,-1.898B,-1.558B,-1.269B,-1.054B,-836.00M,-608.00M,-389.00M,-154.00M,-9.742B,-9.774B,-9.636B,-9.582B,-9.496B,,-9.916B,-10.04B,-9.726B,,-9.465B,-9.828B,-9.178B,,-8.651B,-8.779B,-8.414B,,-8.654B,-8.432B,-8.34B,-8.085B,-7.359B,-7.17B,-7.322B,,-7.483B,,,-6.93B,-6.792B,-6.658B,-6.272B,-6.146B,,-5.943B,-5.784B,-5.607B,-5.444B,-5.339B,-5.132B,-4.989B,-4.894B,-4.768B,-5.932B,-5.80B,-5.562B,-5.559B,-5.483B,-5.398B,-5.272B,-5.200B,-5.094B,-4.964B,-4.831B,-4.712B,-4.542B,-4.432B,-4.308B,-4.188B,-4.050B,-3.941B,-3.819B,-3.698B,-3.585B,-3.465B,-3.347B,-3.245B,-3.190B,-3.087B,-2.984B,-2.729B,-2.419B,-2.330B,-2.039B,-1.900B
Net PP&E,36.94B,36.61B,36.07B,35.18B,34.33B,28.56B,28.12B,27.10B,26.56B,25.90B,25.37B,24.82B,24.38B,24.10B,23.98B,23.42B,23.04B,22.61B,22.48B,22.02B,21.93B,21.72B,22.05B,21.97B,21.85B,21.30B,21.05B,20.79B,20.71B,20.60B,20.61B,20.33B,20.22B,20.26B,20.32B,20.33B,20.31B,20.18B,20.40B,20.48B,20.43B,20.66B,20.92B,20.90B,20.63B,12.06B,12.00B,11.94B,11.70B,11.56B,11.47B,12.53B,12.97B,13.37B,13.62B,14.03B,,14.53B,16.38B,16.44B,,16.47B,16.73B,16.76B,,16.84B,16.60B,16.64B,,16.37B,16.66B,16.59B,16.10B,16.02B,15.72B,15.34B,14.02B,13.38B,12.65B,12.57B,11.81B,11.67B,11.12B,10.28B,9.726B,9.321B,8.85B,8.58B,8.307B,8.042B,7.597B,7.285B,6.975B,6.795B,6.585B,7.122B,7.027B,6.936B,6.36B,6.438B,6.526B,6.603B,6.878B,6.998B,7.094B,7.141B,7.185B,7.285B,7.058B,7.093B,6.862B,6.478B,5.705B,5.641B,5.792B,5.669B,5.471B,5.399B,5.152B,4.933B,4.707B,4.478B,3.566B,3.674B,3.134B,2.982B,2.696B
Goodwill,9.781B,9.781B,9.781B,9.781B,9.781B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.794B,9.787B,9.778B,9.737B,9.729B,9.731B,5.168B,5.169B,6.01B,12.10B,12.17B,12.37B,227.00M,227.00M,227.00M,227.00M,227.00M,,227.00M,227.00M,227.00M,,2.092B,2.092B,2.092B,,2.092B,2.092B,2.092B,,2.092B,2.092B,2.092B,2.092B,2.106B,2.12B,2.134B,2.167B,,2.23B,2.06B,,782.00M,,,,265.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,5.163B,4.821B,4.824B,4.827B,4.83B,4.835B,4.839B,4.843B,4.847B,4.851B,4.855B,4.855B,4.844B,4.848B,4.852B,4.856B,4.861B,4.589B,4.594B,4.599B,4.603B,4.614B,4.625B,4.642B,4.658B,4.675B,4.692B,4.709B,4.679B,4.697B,4.716B,4.733B,4.751B,4.697B,4.714B,4.731B,4.749B,4.766B,4.786B,4.805B,4.829B,4.864B,4.888B,4.918B,4.944B,2.291B,2.342B,2.751B,2.806B,2.861B,2.918B,88.00M,89.00M,70.00M,70.00M,71.00M,,75.00M,76.00M,77.00M,,90.00M,92.00M,93.00M,,97.00M,98.00M,100.00M,,103.00M,91.00M,92.00M,94.00M,96.00M,97.00M,100.00M,,2.287B,,,890.00M,,806.00M,392.00M,398.00M,,376.00M,381.00M,386.00M,409.00M,386.00M,392.00M,398.00M,405.00M,413.00M,437.00M,444.00M,451.00M,458.00M,465.00M,476.00M,490.00M,542.60M,560.80M,289.40M,291.60M,293.80M,295.90M,298.10M,300.30M,294.50M,296.60M,298.70M,300.90M,303.00M,305.10M,307.20M,309.40M,311.50M,313.60M,315.70M,317.90M,326.30M,371.80M,,,
Goodwill and Intangibles,14.94B,14.60B,14.60B,14.61B,14.61B,14.63B,14.63B,14.64B,14.64B,14.64B,14.65B,14.65B,14.64B,14.64B,14.65B,14.65B,14.66B,14.38B,14.39B,14.39B,14.40B,14.41B,14.42B,14.44B,14.45B,14.47B,14.49B,14.50B,14.47B,14.49B,14.51B,14.53B,14.54B,14.49B,14.51B,14.52B,14.54B,14.56B,14.58B,14.60B,14.62B,14.64B,14.62B,14.65B,14.68B,7.459B,7.511B,8.761B,14.91B,15.03B,15.29B,315.00M,316.00M,297.00M,297.00M,298.00M,,302.00M,303.00M,304.00M,,2.182B,2.184B,2.185B,,2.189B,2.19B,2.192B,,2.195B,2.183B,2.184B,2.186B,2.202B,2.217B,2.234B,2.167B,2.287B,2.23B,2.06B,890.00M,782.00M,806.00M,392.00M,398.00M,265.00M,376.00M,381.00M,386.00M,409.00M,386.00M,392.00M,398.00M,405.00M,413.00M,437.00M,444.00M,451.00M,458.00M,465.00M,476.00M,490.00M,542.60M,560.80M,289.40M,291.60M,293.80M,295.90M,298.10M,300.30M,294.50M,296.60M,298.70M,300.90M,303.00M,305.10M,307.20M,309.40M,311.50M,313.60M,315.70M,317.90M,326.30M,371.80M,,,
Long Term Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,157.00M,,225.00M,264.00M,260.00M,276.00M,367.00M,674.00M,548.00M,219.00M,,149.00M,112.00M,,823.00M,,,,326.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,432.00M,804.00M,1.175B,1.354B,1.422B,2.077B,2.75B,3.064B,3.15B,3.797B,4.489B,4.956B,2.834B,3.374B,4.051B,7.595B,3.696B,4.102B,4.854B,4.992B,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,4.402B,5.062B,4.708B,4.862B,4.986B,4.651B,4.594B,3.446B,3.309B,2.878B,2.545B,2.363B,1.733B,1.722B,1.578B,1.475B,1.428B,1.848B,1.098B,1.019B,926.00M,1.119B,1.105B,1.159B,1.303B,1.28B,1.342B,1.131B,1.092B,1.099B,1.144B,1.031B,1.002B,960.00M,992.00M,1.03B,1.031B,1.088B,965.00M,898.00M,749.00M,691.00M,640.00M,795.00M,808.00M,591.00M,974.00M,720.00M,572.00M,540.00M,725.00M,834.00M,948.00M,1.132B,923.00M,1.127B,,1.101B,1.096B,1.156B,,1.563B,1.442B,2.549B,,1.765B,1.684B,1.765B,,1.405B,1.445B,1.437B,1.479B,1.503B,1.01B,1.051B,1.464B,,1.375B,1.238B,,800.00M,,,,1.329B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Long Term Assets,56.28B,56.28B,55.38B,54.64B,53.93B,48.28B,48.16B,46.35B,45.87B,44.84B,44.64B,44.58B,43.81B,43.62B,44.00B,44.04B,44.08B,41.67B,41.34B,41.49B,44.85B,40.94B,41.67B,42.42B,42.60B,37.05B,36.88B,36.43B,36.28B,36.19B,36.26B,35.89B,35.77B,35.71B,35.82B,35.89B,35.88B,35.83B,35.94B,35.98B,35.80B,35.99B,36.18B,36.34B,36.11B,20.11B,20.48B,21.43B,27.18B,27.13B,27.48B,13.68B,14.24B,14.80B,14.84B,15.45B,,15.93B,17.78B,17.90B,,20.21B,20.36B,21.49B,,20.80B,20.47B,20.75B,,20.19B,20.55B,20.47B,20.04B,20.09B,19.62B,19.17B,17.87B,17.11B,16.40B,15.98B,13.88B,14.08B,13.42B,12.26B,11.58B,11.24B,10.62B,10.27B,10.05B,9.874B,9.621B,9.339B,9.027B,8.944B,8.979B,9.251B,9.148B,9.129B,8.687B,8.624B,8.743B,8.673B,8.944B,9.026B,8.993B,9.049B,8.547B,8.657B,8.413B,8.463B,8.255B,7.867B,6.850B,6.518B,6.634B,6.444B,6.227B,6.209B,5.987B,5.667B,5.275B,5.009B,4.097B,4.163B,3.203B,3.013B,2.752B
Total Assets,64.53B,63.22B,62.52B,61.84B,60.27B,55.00B,55.80B,54.08B,53.67B,51.93B,51.82B,51.46B,51.26B,50.95B,51.63B,53.34B,53.13B,53.65B,52.78B,53.75B,54.00B,51.94B,52.19B,52.17B,52.25B,46.00B,45.77B,45.07B,44.55B,44.35B,44.72B,44.19B,43.50B,43.04B,43.88B,43.88B,43.19B,43.15B,43.81B,44.34B,43.79B,44.85B,44.48B,44.40B,45.08B,25.60B,27.65B,26.76B,32.42B,32.77B,33.73B,19.81B,19.62B,20.68B,20.74B,20.56B,20.04B,20.22B,21.56B,21.74B,21.80B,23.53B,24.18B,26.17B,25.94B,25.76B,25.56B,24.46B,24.72B,24.04B,24.06B,23.70B,23.60B,24.38B,22.88B,22.10B,21.80B,20.57B,20.18B,19.87B,17.42B,16.75B,16.16B,14.73B,14.44B,14.60B,13.87B,13.14B,13.54B,12.74B,12.49B,12.03B,12.14B,12.23B,12.11B,12.00B,12.29B,12.14B,11.50B,11.38B,11.94B,11.90B,11.71B,11.60B,11.73B,11.87B,10.13B,10.16B,10.11B,10.16B,9.727B,9.083B,8.471B,8.411B,7.784B,7.327B,7.238B,7.227B,7.032B,6.554B,6.659B,6.484B,5.748B,5.342B,3.786B,3.627B,3.269B
Accounts Payable,3.266B,3.47B,3.359B,3.214B,2.976B,3.265B,3.749B,3.351B,3.634B,3.059B,2.726B,2.353B,2.572B,2.567B,2.956B,2.732B,2.743B,2.688B,2.803B,2.492B,2.622B,2.577B,2.536B,2.341B,2.30B,2.592B,2.571B,2.405B,2.293B,2.325B,2.175B,1.998B,1.60B,1.641B,1.90B,1.907B,1.713B,1.661B,1.63B,1.505B,1.249B,1.483B,1.58B,1.648B,1.604B,347.00M,347.00M,322.00M,839.00M,975.00M,1.288B,884.00M,936.00M,811.00M,1.57B,1.638B,,1.10B,1.678B,1.698B,,1.716B,1.726B,1.789B,,1.735B,1.725B,1.862B,,1.74B,,,1.617B,,,,,2.318B,,,2.212B,,2.094B,2.017B,2.094B,,2.102B,1.879B,2.307B,1.691B,1.757B,1.809B,1.66B,1.54B,1.742B,1.751B,1.742B,1.473B,1.619B,1.536B,1.696B,1.552B,1.510B,1.276B,1.486B,1.202B,1.434B,1.247B,1.215B,956.70M,1.163B,1.085B,981.90M,698.30M,1.071B,993.90M,1.067B,940.90M,888.60M,908.30M,945.80M,,,,,,
