Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Total Current Assets,2.415B,2.221B,2.132B,2.301B,2.292B,2.153B,2.278B,2.771B,2.487B,2.403B,2.331B,2.511B,2.478B,2.415B,2.415B,2.591B,2.619B,2.368B,2.450B,2.793B,2.692B,2.102B,2.068B,2.366B,2.087B,2.018B,2.051B,2.158B,2.227B,2.139B,1.954B,1.523B,1.357B,1.327B,1.338B,1.407B,1.507B,1.236B,1.213B,1.244B,1.268B,1.480B,1.626B,1.747B,1.506B,1.374B,1.394B,1.301B,1.286B,1.416B,1.306B,1.458B,1.731B,2.190B,2.322B,2.675B,2.376B,2.749B,1.801B,1.978B,1.720B,1.805B,1.863B,1.944B,1.548B,1.533B,1.428B,1.562B,1.531B,1.412B,1.385B,1.290B,1.476B,1.266B,1.389B,2.614B,1.150B,1.361B,1.448B,1.378B,1.071B,1.177B,1.068B,1.068B,932.90M,864.60M,784.40M,959.60M,970.70M,1.006B,957.90M,1.107B,1.067B,1.020B,1.066B,973.40M,915.50M,888.90M,752.30M,765.40M,779.60M,769.50M,779.90M,793.70M
Other Properties,1.026B,935.20M,882.40M,798.30M,778.60M,759.00M,706.40M,698.40M,693.70M,679.90M,594.00M,585.10M,591.60M,635.30M,583.50M,575.50M,558.60M,555.30M,547.50M,547.90M,551.30M,541.70M,506.50M,510.20M,508.70M,505.20M,504.60M,503.00M,429.30M,20.18B,19.96B,12.94B,,12.38B,11.95B,11.85B,11.70B,11.45B,11.35B,11.20B,11.11B,10.92B,10.77B,10.67B,,9.679B,9.318B,9.088B,8.882B,8.588B,8.506B,8.333B,8.288B,8.080B,7.817B,7.606B,8.368B,8.175B,8.069B,7.931B,7.864B,7.720B,7.608B,7.428B,7.318B,7.165B,7.090B,6.973B,6.892B,7.867B,7.787B,7.678B,7.424B,6.932B,7.191B,6.899B,10.36B,11.57B,11.50B,10.49B,9.858B,10.28B,10.30B,10.30B,10.25B,10.19B,10.66B,10.64B,10.65B,10.61B,10.60B,10.58B,10.57B,10.47B,10.50B,10.46B,10.47B,9.789B,3.842B,6.683B,9.717B,9.637B,9.615B,9.515B
Construction in Progress,1.735B,1.852B,1.728B,1.861B,1.720B,1.996B,1.841B,1.690B,1.537B,1.461B,1.307B,1.147B,1.012B,1.247B,1.122B,1.113B,1.062B,1.220B,1.021B,1.082B,913.10M,1.082B,967.40M,833.40M,709.80M,967.70M,887.80M,908.00M,1.012B,1.280B,1.169B,877.20M,,823.30M,970.30M,891.10M,845.50M,837.30M,714.90M,646.21M,571.70M,561.22M,521.46M,454.96M,,1.013B,1.121B,1.053B,1.009B,931.36M,763.68M,705.98M,569.42M,567.08M,621.91M,624.10M,600.41M,548.72M,466.11M,437.20M,382.63M,376.43M,354.82M,375.26M,356.40M,374.69M,324.00M,322.43M,320.57M,308.72M,290.58M,293.49M,289.89M,259.02M,222.88M,206.85M,228.33M,206.51M,183.92M,179.52M,177.50M,187.90M,188.90M,147.00M,143.20M,150.90M,148.20M,140.50M,141.10M,168.40M,151.70M,155.10M,146.40M,196.10M,143.60M,166.00M,165.10M,206.90M,6.112B,195.00M,179.70M,187.70M,180.20M,232.60M
Gross PP&E,35.46B,34.70B,34.03B,33.61B,33.07B,32.36B,31.84B,31.19B,30.75B,29.65B,29.04B,28.50B,28.07B,27.54B,27.07B,26.61B,26.29B,25.70B,25.27B,24.89B,24.66B,24.16B,23.76B,23.41B,23.16B,22.71B,22.37B,22.07B,21.84B,21.46B,21.13B,13.81B,,13.20B,12.92B,12.74B,12.55B,12.28B,12.07B,11.85B,11.68B,11.48B,11.29B,11.12B,10.98B,10.69B,10.44B,10.14B,9.892B,9.520B,9.270B,9.039B,8.857B,8.647B,8.439B,8.230B,8.969B,8.724B,8.535B,8.368B,8.247B,8.097B,7.963B,7.803B,7.674B,7.540B,7.414B,7.295B,7.213B,8.176B,8.077B,7.972B,7.714B,7.191B,7.413B,7.106B,10.59B,11.78B,11.68B,10.67B,10.04B,10.47B,10.49B,10.45B,10.40B,10.34B,10.81B,10.78B,10.79B,10.78B,10.76B,10.73B,10.71B,10.66B,10.64B,10.63B,10.63B,9.996B,9.954B,6.878B,9.897B,9.825B,9.796B,9.747B
Accumulated D&A,-7.871B,-7.793B,-7.721B,-7.578B,-7.463B,-7.391B,-7.363B,-7.228B,-7.134B,-7.113B,-6.969B,-6.859B,-6.722B,-6.728B,-6.617B,-6.514B,-6.397B,-6.289B,-6.189B,-6.075B,-6.010B,-5.903B,-5.784B,-5.696B,-5.583B,-5.524B,-5.438B,-5.336B,-5.237B,-5.157B,-5.071B,-3.20B,,-3.108B,-3.057B,-3.022B,-2.982B,-2.966B,-2.925B,-2.889B,-2.842B,-2.862B,-2.817B,-2.811B,-2.770B,-2.750B,-2.718B,-2.688B,-2.662B,-2.643B,-2.624B,-2.643B,-2.615B,-2.600B,-2.552B,-2.501B,-2.551B,-2.496B,-2.460B,-2.414B,-2.383B,-2.357B,-2.321B,-2.284B,-2.244B,-2.565B,-2.543B,-2.517B,-2.164B,-3.532B,-3.496B,-3.454B,-3.274B,-3.466B,-3.436B,-3.488B,-7.041B,-6.494B,-6.432B,-6.373B,-6.088B,-6.428B,-4.376B,-4.309B,-4.224B,-4.114B,-4.52B,-4.429B,-4.331B,-4.243B,-4.146B,-4.062B,-3.980B,-3.875B,-3.793B,-3.714B,-3.630B,-3.542B,-3.446B,-338.30M,-3.294B,-3.234B,-3.163B,-3.097B
Net PP&E,27.59B,26.91B,26.30B,26.03B,25.61B,24.97B,24.48B,23.96B,23.62B,22.54B,22.07B,21.64B,21.35B,20.81B,20.45B,20.10B,19.89B,19.41B,19.08B,18.81B,18.65B,18.25B,17.98B,17.71B,17.58B,17.19B,16.93B,16.74B,16.60B,16.30B,16.05B,10.61B,10.40B,10.10B,9.864B,9.716B,9.568B,9.318B,9.142B,8.958B,8.840B,8.623B,8.469B,8.314B,8.208B,7.941B,7.722B,7.453B,7.230B,6.877B,6.646B,6.397B,6.242B,6.046B,5.887B,5.728B,6.417B,6.228B,6.075B,5.954B,5.864B,5.739B,5.642B,5.519B,5.430B,4.975B,4.871B,4.779B,5.049B,4.644B,4.581B,4.518B,4.440B,3.724B,3.978B,3.619B,3.547B,5.282B,5.252B,4.301B,3.947B,4.042B,6.110B,6.142B,6.171B,6.223B,6.290B,6.353B,6.463B,6.537B,6.610B,6.673B,6.732B,6.789B,6.846B,6.918B,7.001B,6.454B,6.508B,6.540B,6.603B,6.591B,6.633B,6.651B
Goodwill,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.518B,3.518B,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,,,,287.59M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwill and Intangibles,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,4.427B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.519B,3.518B,3.518B,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,287.59M,290.79M,290.79M,1.185B,319.99M,340.24M,341.14M,342.04M,342.94M,343.90M,344.06M,344.96M,345.87M,343.87M,332.31M,335.00M,333.12M,323.48M,325.85M,334.51M,324.39M,336.22M,336.57M,345.37M,23.50M,,,,,,,,,,,,,,,,,,,,,,,
Long Term Investments,1.321B,1.266B,1.150B,1.127B,881.79M,585.96M,576.44M,580.45M,585.42M,570.26M,565.46M,561.58M,544.64M,525.81M,518.75M,502.95M,516.48M,476.78M,497.92M,518.06M,515.02M,518.03M,513.99M,507.93M,488.52M,468.09M,501.88M,492.00M,400.33M,394.21M,372.30M,74.05M,60.31M,52.18M,58.15M,52.85M,51.20M,45.73M,48.00M,41.76M,54.90M,55.35M,51.12M,29.84M,30.76M,,,,53.28M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,88.89M,89.31M,94.97M,90.61M,93.26M,93.62M,94.26M,98.36M,91.43M,86.73M,88.55M,123.24M,134.70M,160.38M,153.65M,189.75M,217.78M,224.92M,229.26M,241.81M,,,,298.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.64M,390.08M,356.80M,139.55M,50.29M,150.72M,91.57M,115.80M,131.10M,150.20M,168.90M,95.20M,212.50M,188.00M,208.30M,38.80M,246.00M,248.10M,267.00M,110.20M,263.60M,271.10M,274.10M,1.763B,287.40M,306.50M,86.30M,87.70M,412.10M,429.30M,445.00M
Other Long Term Assets,512.24M,606.30M,578.38M,463.79M,398.41M,664.74M,680.72M,646.63M,605.69M,627.29M,590.69M,556.19M,522.26M,344.65M,319.18M,299.40M,295.24M,324.38M,316.82M,329.39M,312.37M,347.60M,370.43M,504.06M,365.69M,279.53M,286.46M,311.62M,327.77M,5.309B,5.513B,3.386B,172.56M,2.874B,2.808B,2.866B,2.936B,3.276B,3.379B,3.421B,3.418B,3.343B,3.469B,3.666B,3.715B,3.061B,3.306B,3.302B,2.224B,2.759B,2.887B,2.894B,3.042B,2.968B,2.962B,3.443B,3.487B,3.662B,3.783B,2.962B,3.752B,3.657B,3.667B,3.733B,3.896B,3.746B,3.777B,3.587B,3.838B,3.916B,4.016B,4.006B,4.082B,4.453B,4.078B,4.322B,5.056B,3.536B,3.575B,4.625B,4.531B,4.916B,3.020B,3.006B,3.188B,3.255B,2.696B,2.751B,2.942B,2.823B,2.638B,2.622B,2.832B,2.322B,2.360B,2.332B,879.80M,2.878B,2.952B,3.153B,3.114B,2.742B,2.736B,2.759B
Total Long Term Assets,38.71B,37.50B,36.86B,36.64B,35.95B,35.36B,34.97B,34.27B,33.73B,30.76B,30.33B,29.84B,29.58B,28.67B,28.47B,28.12B,27.96B,27.68B,27.43B,27.16B,27.05B,25.88B,25.72B,25.73B,25.71B,26.43B,26.15B,26.17B,26.08B,25.62B,25.55B,14.45B,14.29B,13.40B,13.10B,13.01B,12.97B,13.06B,13.02B,12.86B,12.79B,12.53B,12.50B,12.53B,12.48B,11.29B,11.32B,11.04B,10.30B,9.923B,9.820B,9.578B,9.572B,9.302B,9.137B,9.459B,10.19B,10.18B,10.15B,10.10B,9.936B,9.736B,9.650B,9.595B,9.669B,9.065B,8.992B,8.711B,9.234B,8.904B,8.930B,8.859B,8.856B,9.027B,8.772B,8.632B,9.067B,9.205B,9.315B,9.363B,8.618B,9.088B,9.281B,9.317B,9.454B,9.691B,9.174B,9.312B,9.444B,9.606B,9.496B,9.562B,9.675B,9.375B,9.478B,9.524B,9.644B,9.619B,9.766B,9.779B,9.805B,9.745B,9.798B,9.854B
Total Assets,41.12B,39.73B,39.00B,38.94B,38.24B,37.52B,37.24B,37.04B,36.22B,33.16B,32.66B,32.36B,32.05B,31.08B,30.88B,30.71B,30.58B,30.05B,29.88B,29.95B,29.74B,27.98B,27.79B,28.10B,27.80B,28.44B,28.20B,28.33B,28.30B,27.76B,27.51B,15.98B,15.65B,14.73B,14.44B,14.42B,14.47B,14.30B,14.23B,14.11B,14.06B,14.01B,14.13B,14.27B,13.99B,12.66B,12.71B,12.34B,11.58B,11.34B,11.13B,11.04B,11.30B,11.49B,11.46B,12.13B,12.57B,12.93B,11.95B,12.08B,11.66B,11.54B,11.51B,11.54B,11.22B,10.60B,10.42B,10.27B,10.76B,10.32B,10.31B,10.15B,10.33B,10.29B,10.16B,11.25B,10.22B,10.57B,10.76B,10.74B,9.688B,10.26B,10.35B,10.38B,10.39B,10.56B,9.958B,10.27B,10.41B,10.61B,10.45B,10.67B,10.74B,10.39B,10.54B,10.50B,10.56B,10.51B,10.52B,10.54B,10.58B,10.51B,10.58B,10.65B
Accounts Payable,1.148B,892.11M,903.43M,1.007B,1.120B,962.30M,1.010B,984.34M,1.085B,794.20M,587.17M,745.86M,884.52M,679.50M,631.57M,646.44M,813.65M,610.75M,598.72M,739.32M,868.23M,608.64M,561.70M,711.59M,742.25M,554.01M,532.04M,633.46M,764.35M,542.69M,601.00M,412.88M,633.28M,476.21M,373.80M,352.61M,417.28M,379.18M,390.05M,385.18M,457.58M,410.12M,440.52M,466.29M,678.61M,463.97M,568.77M,574.63M,598.55M,506.99M,505.24M,503.89M,569.94M,511.61M,563.33M,691.10M,972.37M,887.69M,809.42M,873.60M,825.25M,704.56M,903.12M,839.86M,728.46M,787.02M,652.98M,687.74M,776.22M,571.55M,654.58M,502.20M,608.70M,634.82M,685.48M,653.28M,538.98M,481.41M,547.51M,437.49M,347.30M,335.40M,480.40M,319.30M,338.60M,256.80M,272.60M,315.20M,402.90M,322.20M,359.40M,328.00M,507.10M,289.70M,321.10M,249.40M,319.00M,227.10M,235.10M,218.80M,280.90M,,205.40M,218.90M
Dividends Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.80M,,,,
Current Tax Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.28M,104.12M,116.23M,107.07M,69.87M,55.07M,64.24M,50.25M,73.80M,15.90M,51.40M,12.53M,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Payables,,,,,,199.76M,,,,149.79M,,,,166.84M,133.94M,135.98M,,157.80M,,157.14M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,1.148B,892.11M,903.43M,1.007B,1.120B,1.162B,1.010B,984.34M,1.085B,943.98M,587.17M,745.86M,884.52M,846.35M,765.51M,782.42M,813.65M,768.55M,598.72M,896.47M,868.23M,608.64M,561.70M,711.59M,742.25M,554.01M,532.04M,633.46M,764.35M,542.69M,601.00M,412.88M,633.28M,591.50M,477.92M,468.83M,524.35M,449.05M,445.12M,449.42M,507.83M,483.93M,456.42M,517.69M,691.14M,463.97M,568.77M,574.63M,598.55M,506.99M,505.24M,503.89M,569.94M,511.61M,563.33M,691.10M,972.37M,887.69M,809.42M,873.60M,825.25M,704.56M,903.12M,839.86M,728.46M,787.02M,652.98M,687.74M,776.22M,571.55M,654.58M,502.20M,608.70M,634.82M,685.48M,653.28M,538.98M,481.41M,547.51M,437.49M,347.30M,335.40M,480.40M,319.30M,338.60M,256.80M,272.60M,315.20M,402.90M,322.20M,359.40M,328.00M,507.10M,289.70M,321.10M,249.40M,319.00M,227.10M,235.10M,388.60M,280.90M,,205.40M,218.90M
Accrued Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.32M,69.58M,76.85M,74.74M,107.83M,87.78M,92.88M,83.76M,89.16M,80.99M,74.68M,69.82M,313.46M,402.48M,333.83M,56.59M,387.18M,406.81M,300.77M,789.02M,799.81M,894.42M,1.077B,948.19M,1.456B,680.59M,727.54M,467.40M,544.56M,552.86M,591.80M,403.99M,398.00M,408.57M,471.18M,454.84M,372.52M,288.10M,290.49M,375.96M,349.55M,259.34M,656.37M,240.15M,312.30M,289.44M,313.68M,323.40M,327.30M,209.00M,259.40M,241.10M,257.90M,275.80M,301.40M,315.30M,392.40M,329.30M,313.00M,319.90M,358.10M,385.40M,396.50M,325.30M,394.90M,302.90M,178.30M,316.50M,,290.20M,331.40M
Payables and Accrued Expenses,1.148B,892.11M,903.43M,1.007B,1.120B,1.162B,1.010B,984.34M,1.085B,943.98M,587.17M,745.86M,884.52M,846.35M,765.51M,782.42M,813.65M,768.55M,598.72M,896.47M,868.23M,608.64M,561.70M,711.59M,742.25M,554.01M,532.04M,633.46M,764.35M,542.69M,601.00M,412.88M,633.28M,668.82M,547.51M,545.68M,599.09M,556.88M,532.90M,542.30M,591.59M,573.09M,537.40M,592.37M,760.96M,777.43M,971.25M,908.45M,655.14M,894.17M,912.06M,804.66M,1.359B,1.311B,1.458B,1.768B,1.921B,2.343B,1.490B,1.601B,1.293B,1.249B,1.456B,1.432B,1.132B,1.185B,1.062B,1.159B,1.231B,944.07M,942.67M,792.69M,984.66M,984.38M,944.82M,1.310B,779.13M,793.71M,836.95M,751.17M,670.70M,662.70M,689.40M,578.70M,579.70M,514.70M,548.40M,616.60M,718.20M,714.60M,688.70M,641.00M,827.00M,647.80M,706.50M,645.90M,644.30M,622.00M,538.00M,566.90M,597.40M,,495.60M,550.30M
Notes Payable,889.08M,712.50M,729.00M,1.478B,910.00M,1.067B,1.191B,1.049B,1.088B,18.24M,937.50M,975.50M,1.148B,734.50M,767.00M,769.50M,1.161B,1.016B,953.70M,1.004B,956.82M,1.047B,905.00M,571.15M,1.093B,1.343B,794.50M,1.287B,1.120B,1.359B,1.248B,660.00M,317.00M,30.00M,137.00M,189.00M,267.00M,156.00M,157.31M,100.31M,100.31M,325.23M,493.99M,493.99M,618.90M,,,,79.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
