Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Operating Interest Income,-133.54M,-135.22M,-132.70M,-131.73M,-126.07M,-125.20M,-126.40M,-121.13M,-102.28M,-108.72M,-107.33M,-103.43M,-102.39M,-99.86M,-100.49M,-98.21M,-92.78M,-92.53M,-92.26M,-94.84M,-89.90M,-89.74M,-92.50M,-89.98M,-88.12M,-87.48M,-94.93M,-110.75M,-123.96M,-133.40M,-129.80M,-84.79M,-135.62M,-63.93M,-62.23M,-61.40M,-269.80M,-65.90M,-67.20M,-67.26M,-68.07M,-69.64M,-62.96M,-70.18M,-69.55M,-70.90M,-66.06M,-62.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,118.58M,136.83M,105.84M,140.12M,106.22M,129.96M,101.96M,134.24M,89.07M,129.20M,116.40M,146.16M,71.47M,193.06M,110.95M,158.17M,94.89M,115.26M,100.68M,207.21M,91.78M,96.16M,99.17M,196.72M,123.56M,176.14M,148.72M,159.82M,108.97M,142.16M,99.08M,42.70M,-705.08M,309.39M,303.78M,371.43M,-862.64M,394.20M,130.71M,353.48M,390.06M,368.57M,342.49M,352.18M,105.64M,124.42M,118.78M,110.06M,-426.28M,249.10M,305.49M,283.22M,334.71M,306.16M,321.06M,359.16M,-92.86M,424.83M,394.30M,491.83M,274.41M,285.73M,338.41M,284.83M,316.18M,277.96M,298.99M,235.16M,51.93M,252.38M,272.17M,250.34M,875.02M,254.51M,240.70M,-541.11M,313.22M,293.49M,263.68M,240.17M,-25.50M,217.40M,407.80M,287.70M,,,306.70M,,,,478.10M,,438.30M,399.40M,401.00M,346.90M,271.60M,337.90M,290.90M,302.50M,341.80M,346.60M,325.60M,317.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,532.25M,605.25M,544.95M,610.61M,574.59M,618.64M,514.73M,566.13M,520.76M,533.71M,454.71M,512.20M,481.71M,539.29M,441.79M,492.10M,416.71M,433.94M,403.29M,520.52M,389.73M,390.90M,386.18M,493.06M,391.09M,460.75M,431.73M,447.68M,372.83M,407.30M,356.43M,209.58M,-554.88M,469.58M,456.84M,533.78M,-720.28M,549.58M,284.19M,509.41M,527.52M,531.99M,461.65M,537.28M,300.08M,324.55M,288.32M,278.50M,-424.06M,446.51M,469.93M,477.30M,466.91M,470.22M,478.08M,602.75M,144.43M,667.53M,567.78M,690.04M,444.00M,483.92M,516.05M,489.28M,513.63M,479.14M,459.33M,455.11M,419.16M,445.45M,420.82M,443.56M,1.053B,432.23M,431.90M,315.26M,523.62M,485.83M,452.27M,416.12M,442.80M,480.80M,571.60M,552.30M,,,474.80M,,,,639.40M,,656.30M,566.60M,566.20M,523.40M,547.70M,504.00M,465.90M,470.20M,498.30M,491.60M,488.40M,490.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,435.60M,509.24M,390.63M,494.70M,400.02M,466.02M,391.35M,442.53M,443.81M,495.25M,448.21M,500.98M,419.42M,509.87M,423.42M,488.54M,385.41M,469.24M,412.02M,497.48M,430.30M,440.91M,293.99M,467.69M,360.65M,399.26M,358.66M,453.44M,371.28M,455.95M,200.27M,232.74M,254.82M,203.82M,178.13M,227.36M,428.12M,199.63M,178.34M,226.66M,192.35M,162.55M,179.19M,217.28M,171.30M,149.08M,138.12M,132.27M,143.43M,123.33M,117.32M,155.73M,78.63M,76.38M,73.31M,7.437M,-24.15M,-85.67M,-16.09M,-126.24M,-15.13M,33.45M,96.20M,172.79M,32.30M,127.32M,103.70M,164.03M,132.77M,118.10M,94.05M,114.29M,-509.23M,113.38M,141.52M,318.31M,173.08M,177.34M,146.54M,197.83M,158.30M,166.90M,89.57M,110.70M,-2.501B,974.40M,93.90M,958.90M,-2.662B,977.10M,-13.00M,975.40M,-40.00M,80.80M,106.00M,193.10M,204.50M,238.20M,174.10M,236.90M,196.00M,211.40M,184.00M,250.60M,901.90M,915.20M,853.80M,958.20M,867.70M,867.70M,718.70M,762.70M,722.80M,692.70M,637.00M,701.30M,891.30M,600.90M,526.40M,597.70M,574.10M,562.40M,510.20M,559.60M,527.90M,543.90M,469.90M,537.50M,346.90M,499.10M,491.70M,540.30M,513.20M,471.80M,497.20M,549.90M,534.00M,477.10M,479.00M,590.90M,529.20M,500.50M,482.10M,583.50M
Non-Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00M,0.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,133.54M,135.22M,132.70M,131.73M,126.07M,125.20M,126.40M,121.13M,102.28M,108.72M,107.33M,103.43M,102.39M,99.86M,100.49M,98.21M,92.78M,92.53M,92.26M,94.84M,89.90M,89.74M,92.50M,89.98M,88.12M,87.48M,86.85M,76.26M,84.09M,90.36M,89.05M,66.45M,65.71M,63.93M,62.23M,61.40M,51.30M,65.90M,67.20M,67.26M,68.07M,69.64M,64.96M,70.98M,69.55M,70.90M,66.06M,62.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-133.54M,-135.22M,-132.70M,-131.73M,-126.07M,-125.20M,-126.40M,-121.13M,-102.28M,-108.72M,-107.33M,-103.43M,-102.39M,-99.86M,-100.49M,-98.21M,-92.78M,-92.53M,-92.26M,-94.84M,-89.90M,-89.74M,-92.50M,-89.98M,-88.12M,-87.48M,-94.93M,-110.75M,-123.96M,-133.40M,-129.80M,-84.79M,-135.62M,-63.93M,-62.23M,-61.40M,-269.80M,-65.90M,-67.20M,-67.26M,-68.07M,-69.64M,-62.96M,-70.18M,-69.55M,-70.90M,-66.06M,-62.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,28.96M,26.97M,-193.78M,30.98M,27.71M,16.72M,50.15M,33.79M,28.74M,28.54M,29.02M,21.62M,40.82M,13.64M,8.038M,2.011M,10.36M,5.241M,12.90M,5.727M,5.565M,11.86M,5.526M,1.667M,8.239M,8.945M,4.944M,7.765M,4.838M,4.324M,1.806M,8.773M,8.638M,1.43M,7.334M,10.31M,22.19M,10.12M,1.552M,8.057M,11.72M,9.49M,10.41M,3.382M,8.818M,17.68M,10.37M,13.56M,24.96M,10.73M,11.87M,14.07M,25.94M,12.08M,12.16M,16.20M,26.57M,11.77M,10.29M,5.906M,15.15M,5.977M,2.862M,1.687M,-6.443M,4.678M,0.754M,0.576M,24.11M,32.06M,1.653M,-14.00M,638.94M,17.72M,7.673M,0.807M,-13.65M,16.28M,-0.49M,2.847M,-76.30M,-24.90M,2.10M,2.00M,,,-0.20M,,,,6.90M,,19.00M,11.20M,14.80M,10.00M,19.70M,12.50M,7.90M,8.30M,21.30M,10.40M,22.90M,21.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-133.54M,-135.22M,-132.70M,-131.73M,-126.07M,-125.20M,-126.40M,-121.13M,-102.28M,-108.72M,-107.33M,-103.43M,-102.39M,-99.86M,-100.49M,-98.21M,-92.78M,-92.53M,-92.26M,-94.84M,-89.90M,-89.74M,-92.50M,-89.98M,-88.12M,-87.48M,-94.93M,-110.75M,-123.96M,-133.40M,-129.80M,-84.79M,-135.62M,-63.93M,-62.23M,-61.40M,-269.80M,-65.90M,-67.20M,-67.26M,-68.07M,-69.64M,-62.96M,-70.18M,-69.55M,-70.90M,-66.06M,-62.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,330.98M,400.99M,64.15M,393.95M,301.66M,357.54M,315.10M,355.19M,370.27M,415.07M,369.90M,419.17M,357.87M,423.64M,330.97M,392.34M,303.01M,381.94M,332.66M,408.36M,345.93M,363.03M,207.02M,379.38M,280.78M,320.73M,268.67M,350.46M,252.14M,326.87M,72.27M,156.72M,127.80M,141.31M,123.23M,179.12M,180.51M,143.85M,112.70M,167.46M,136.01M,102.41M,126.64M,150.49M,110.57M,95.86M,82.43M,83.19M,112.83M,70.95M,69.67M,110.52M,46.81M,28.34M,24.61M,-37.59M,-57.23M,-133.20M,-69.10M,-176.68M,-31.32M,-22.03M,35.92M,111.70M,-34.08M,68.65M,44.93M,101.06M,89.98M,82.44M,26.70M,33.40M,59.08M,60.82M,75.21M,249.60M,90.96M,113.85M,63.56M,133.93M,15.20M,74.70M,25.30M,40.40M,,,23.30M,,,,-77.40M,,-98.20M,24.20M,46.40M,133.20M,139.30M,173.70M,104.30M,165.90M,138.70M,145.10M,130.50M,195.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,79.06M,80.23M,30.82M,83.39M,68.48M,66.28M,70.45M,83.77M,130.97M,152.82M,137.27M,157.83M,126.81M,156.45M,125.44M,146.30M,119.33M,144.15M,123.27M,153.23M,122.44M,126.54M,77.77M,141.54M,101.50M,109.35M,95.61M,120.49M,75.55M,117.36M,26.06M,55.96M,13.02M,49.88M,44.52M,63.54M,49.28M,41.92M,39.35M,79.86M,49.90M,36.23M,42.39M,51.42M,37.28M,21.78M,23.19M,23.41M,33.98M,20.78M,22.09M,32.72M,8.761M,-75.70M,8.92M,-18.30M,-53.13M,-34.86M,-32.10M,-64.77M,-18.54M,-14.12M,10.54M,42.86M,-25.57M,23.28M,16.67M,39.47M,32.55M,32.48M,-3.55M,13.37M,7.988M,25.18M,28.48M,112.30M,35.26M,45.55M,47.44M,54.59M,25.60M,37.80M,19.10M,16.00M,,,10.20M,,,,-20.90M,,-30.30M,14.50M,26.50M,59.30M,66.70M,75.60M,53.60M,65.50M,63.20M,69.10M,58.60M,89.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,251.92M,320.76M,33.33M,310.56M,233.19M,291.26M,244.65M,271.43M,239.30M,262.25M,232.63M,261.34M,231.06M,267.20M,205.53M,246.03M,183.68M,237.80M,209.39M,255.13M,223.49M,236.49M,129.25M,237.84M,179.28M,211.38M,173.06M,229.97M,176.60M,209.51M,46.22M,100.76M,114.78M,91.43M,78.72M,115.58M,131.22M,101.94M,73.35M,87.60M,86.11M,66.18M,84.24M,99.06M,73.29M,74.08M,59.24M,59.78M,73.29M,50.18M,47.58M,77.80M,38.05M,104.04M,15.69M,-19.28M,-4.098M,-98.34M,-37.00M,-111.91M,-12.78M,-7.907M,25.38M,68.83M,-8.51M,45.37M,28.26M,61.59M,57.42M,49.96M,30.25M,20.03M,51.09M,35.64M,46.73M,137.30M,55.70M,68.30M,16.12M,79.34M,-10.40M,36.90M,6.20M,24.40M,-105.50M,-3.10M,13.10M,-17.90M,-6.70M,-51.70M,-56.50M,0.90M,-67.90M,9.70M,19.90M,73.90M,72.60M,98.10M,50.70M,100.40M,75.50M,76.00M,71.90M,106.50M,65.90M,49.70M,18.20M,64.40M,96.80M,63.30M,66.40M,76.50M,17.40M,78.10M,61.30M,79.90M,83.30M,65.90M,40.70M,66.10M,46.00M,56.00M,40.40M,60.80M,98.10M,65.70M,44.00M,55.60M,59.70M,55.40M,53.00M,85.00M,56.80M,65.10M,98.10M,80.90M,102.50M,66.40M,67.50M,96.40M,69.60M,75.90M,54.40M,89.00M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.579M,-0.052M,2.36M,-1.313M,310.33M,8.797M,7.942M,10.57M,-7.08M,5.24M,10.68M,-4.423M,47.24M,1.389M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,-3.40M,9.30M,3.80M,-3.40M,-1.20M,9.90M,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,-4.741M,,,,,,,0.00,,,-22.43M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,51.70M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.88M,-1.879M,-1.88M,-1.879M,-1.88M,-1.879M,-1.88M,-1.879M,-1.879M,-1.879M,-2.043M,-1.879M,-1.879M,-1.88M,-1.88M,-1.493M,-1.48M,-1.47M,-1.441M,-1.429M,-1.954M,-1.411M,-1.402M,-1.39M,9.728M,-1.39M,-1.389M,-1.39M,,-1.39M,-1.389M,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.437M,-2.325M,,-2.325M,-2.325M,-0.499M,-8.20M,0.10M,-0.30M,-0.80M,,,0.70M,,,,0.40M,,-6.70M,3.30M,3.70M,3.70M,-6.10M,3.60M,3.90M,2.30M,3.60M,3.70M,3.70M,3.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39M,1.39M,1.39M,1.389M,1.39M,1.39M,1.39M,1.389M,1.39M,1.39M,1.39M,1.389M,1.39M,1.39M,1.39M,1.389M,1.39M,1.39M,1.39M,1.389M,1.39M,1.39M,1.39M,1.389M,1.39M,5.491M,1.004M,,2.704M,2.739M,2.752M,3.913M,4.758M,5.30M,5.70M,5.90M,5.90M,,,6.80M,,,,7.90M,,8.50M,8.60M,8.30M,8.40M,8.40M,8.60M,8.40M,14.10M,10.70M,10.90M,10.80M,10.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
