Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Interest Income,-4.386M,-4.418M,-8.968M,-4.748M,8.487M,-4.583M,-0.717M,4.587M,28.04M,-53.02M,-38.30M,-15.02M,5.356M,14.99M,22.44M,1.179M,4.366M,49.30M,1.423M,36.72M,44.78M,2.163M,-8.884M,5.173M,15.77M,53.10M,16.39M,-7.99M,5.566M,-8.508M,10.84M,2.985M,,,8.272M,5.611M,,,0.00,0.00,,,,39.43M,,7.292M,3.151M,0.471M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Operating Interest Income,-78.57M,-49.35M,-63.06M,-50.82M,-38.80M,-48.79M,-45.04M,-39.95M,-11.80M,-101.70M,-83.45M,-59.62M,-38.92M,-24.23M,-12.01M,-29.04M,-26.14M,19.16M,-27.22M,8.635M,11.34M,-27.48M,-37.60M,-18.84M,-6.853M,32.58M,1.271M,-21.63M,-0.448M,-9.988M,8.72M,-2.331M,22.42M,-14.85M,-1.689M,0.325M,-61.91M,-8.043M,-10.20M,-12.14M,130.48M,-16.75M,-25.31M,27.44M,-65.98M,-9.33M,-12.40M,-13.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,77.78M,77.25M,40.57M,41.88M,65.56M,45.13M,25.28M,35.11M,36.68M,39.15M,30.63M,39.22M,29.18M,30.91M,49.47M,39.04M,232.31M,70.07M,76.71M,140.50M,136.68M,130.03M,147.14M,150.53M,169.70M,160.38M,100.73M,120.39M,-862.41M,444.64M,638.70M,550.86M,1.513B,8.638M,132.20M,105.76M,1.918B,12.60M,60.94M,73.98M,344.50M,-8.27M,-24.25M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,145.25M,146.42M,111.18M,115.34M,117.65M,120.88M,94.46M,95.36M,99.48M,101.34M,94.18M,101.69M,87.47M,96.02M,130.03M,125.18M,312.73M,156.12M,174.93M,248.26M,254.12M,241.57M,271.03M,268.88M,310.71M,282.11M,207.97M,216.92M,-774.27M,510.78M,726.32M,639.02M,719.45M,352.77M,466.51M,439.17M,1.157B,349.11M,418.00M,431.79M,656.54M,295.28M,269.87M,257.85M,2.561B,226.19M,215.82M,224.56M,208.81M,179.88M,169.47M,160.98M,186.70M,139.42M,148.75M,137.73M,96.29M,168.91M,149.50M,141.06M,117.77M,109.22M,115.91M,110.88M,49.06M,115.86M,86.31M,109.74M,1.539M,89.75M,106.59M,92.07M,82.92M,84.57M,84.02M,76.07M,80.26M,74.35M,68.34M,73.43M,87.80M,74.00M,70.20M,65.70M,69.20M,69.00M,67.10M,69.80M,69.20M,82.90M,91.40M,94.20M,27.60M,77.60M,76.80M,78.40M,64.40M,78.30M,79.30M,82.20M,47.00M,78.30M,77.80M,81.70M,67.40M,59.20M,58.40M,59.00M,77.50M,56.10M,79.80M,60.40M,21.20M,67.50M,193.10M,68.80M,136.80M,93.20M,67.30M,70.20M,123.70M,75.70M,,,,,,,,,,,,,,,,,,,,,,
Operating Income,94.44M,130.72M,133.50M,114.11M,53.79M,73.32M,60.32M,29.39M,-287.55M,53.47M,37.21M,49.05M,67.98M,14.69M,-130.58M,-141.34M,-149.25M,-108.07M,-87.19M,-212.56M,136.59M,424.77M,342.02M,353.82M,201.53M,431.13M,474.47M,381.64M,346.78M,387.34M,479.28M,467.88M,79.36M,541.56M,506.89M,405.76M,302.78M,360.76M,460.52M,303.81M,475.86M,336.24M,302.61M,158.19M,315.26M,928.76M,984.03M,670.90M,352.95M,321.58M,450.31M,197.41M,150.73M,419.97M,342.51M,254.00M,125.06M,357.64M,567.20M,210.33M,163.02M,206.83M,269.45M,140.75M,46.55M,100.30M,117.69M,129.72M,67.66M,56.90M,48.22M,8.437M,42.98M,74.10M,249.01M,162.15M,112.51M,157.48M,118.82M,77.61M,84.20M,84.70M,33.96M,-6.50M,4.60M,17.60M,37.40M,25.10M,79.10M,63.10M,41.30M,52.30M,134.30M,21.90M,28.10M,28.70M,26.20M,-0.40M,37.40M,13.80M,-6.20M,58.30M,34.80M,42.20M,0.40M,33.80M,42.70M,24.50M,50.10M,-13.60M,8.10M,9.90M,-41.60M,58.60M,-102.40M,54.40M,-76.60M,76.70M,77.30M,59.00M,28.30M,26.40M,434.90M,386.60M,-1.077B,381.80M,370.90M,356.90M,-1.128B,427.20M,368.40M,333.50M,-988.60M,327.60M,327.60M,327.60M,-1.346B,576.00M,572.30M,495.60M,-1.231B,560.50M,477.40M,548.20M
Non-Operating Interest Income,-4.386M,-4.418M,-8.968M,-4.748M,8.487M,-4.583M,-0.717M,4.587M,28.04M,-53.02M,-38.30M,-15.02M,5.356M,14.99M,22.44M,1.179M,4.366M,49.30M,1.423M,36.72M,44.78M,2.163M,-8.884M,5.173M,15.77M,53.10M,16.39M,-7.99M,5.566M,-8.508M,10.84M,2.985M,,,8.272M,5.611M,,,0.00,0.00,,,,39.43M,,7.292M,3.151M,0.471M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,74.18M,44.93M,54.10M,46.07M,47.28M,44.21M,44.32M,44.54M,39.84M,48.68M,45.14M,44.60M,44.28M,39.22M,34.45M,30.22M,30.50M,30.14M,28.64M,28.08M,33.44M,29.65M,28.72M,24.02M,22.62M,20.52M,15.12M,13.64M,6.014M,1.48M,2.122M,5.316M,10.60M,14.85M,9.961M,5.286M,4.344M,8.043M,10.20M,12.14M,-39.98M,16.75M,25.31M,11.99M,45.74M,16.62M,15.56M,14.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-78.57M,-49.35M,-63.06M,-50.82M,-38.80M,-48.79M,-45.04M,-39.95M,-11.80M,-101.70M,-83.45M,-59.62M,-38.92M,-24.23M,-12.01M,-29.04M,-26.14M,19.16M,-27.22M,8.635M,11.34M,-27.48M,-37.60M,-18.84M,-6.853M,32.58M,1.271M,-21.63M,-0.448M,-9.988M,8.72M,-2.331M,22.42M,-14.85M,-1.689M,0.325M,-61.91M,-8.043M,-10.20M,-12.14M,130.48M,-16.75M,-25.31M,27.44M,-65.98M,-9.33M,-12.40M,-13.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,-131.18M,95.74M,37.50M,-29.55M,-2.339M,49.44M,-37.84M,-10.49M,-52.96M,-15.33M,24.34M,165.45M,-109.11M,-7.216M,11.32M,-94.65M,-471.04M,-2.319B,4.315M,86.20M,69.07M,-0.795M,0.178M,-0.795M,0.175M,-0.038M,-21.59M,,-199.86M,-0.12M,0.035M,0.09M,,,-9.657M,-4.136M,,,-13.19M,-13.13M,-95.76M,-6.717M,-6.164M,,,,,,-16.96M,-8.17M,-88.56M,-6.571M,-3.696M,-59.55M,-91.36M,-77.71M,-81.81M,3.976M,166.63M,-2.328M,-16.14M,36.52M,-0.874M,26.70M,21.38M,-3.031M,46.78M,,-52.42M,-18.31M,4.571M,,,,,,-9.828M,-41.99M,,,0.00,,,-3.00M,,,,1.10M,-55.40M,1.10M,1.40M,1.10M,-65.90M,49.40M,18.60M,15.90M,-223.60M,2.90M,1.70M,13.40M,,,,,,,,,-20.60M,20.80M,29.40M,0.60M,87.50M,0.60M,0.50M,0.60M,123.20M,1.20M,1.10M,0.90M,28.00M,0.60M,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-78.57M,-49.35M,-63.06M,-50.82M,-38.80M,-48.79M,-45.04M,-39.95M,-11.80M,-101.70M,-83.45M,-59.62M,-38.92M,-24.23M,-12.01M,-29.04M,-26.14M,19.16M,-27.22M,8.635M,11.34M,-27.48M,-37.60M,-18.84M,-6.853M,32.58M,1.271M,-21.63M,-0.448M,-9.988M,8.72M,-2.331M,22.42M,-14.85M,-1.689M,0.325M,-61.91M,-8.043M,-10.20M,-12.14M,130.48M,-16.75M,-25.31M,27.44M,-65.98M,-9.33M,-12.40M,-13.73M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,-115.30M,177.12M,107.94M,33.74M,12.66M,73.97M,-22.56M,-21.06M,-352.31M,-63.56M,-21.90M,154.88M,-80.06M,-16.76M,-131.27M,-265.03M,-646.43M,-2.408B,-110.09M,-117.73M,217.00M,396.49M,304.59M,334.18M,194.85M,463.67M,454.15M,360.01M,146.47M,377.23M,488.04M,465.64M,-238.32M,526.71M,505.20M,411.43M,223.16M,352.71M,444.98M,286.15M,536.73M,312.78M,271.14M,156.52M,273.76M,919.43M,968.48M,656.70M,314.44M,318.11M,404.29M,200.38M,144.01M,384.46M,295.13M,214.81M,252.91M,353.97M,561.96M,203.22M,206.08M,196.42M,257.62M,139.83M,30.39M,90.58M,111.04M,125.29M,33.96M,43.38M,40.51M,3.712M,29.48M,69.65M,246.98M,155.99M,127.57M,132.99M,119.94M,74.02M,81.00M,80.50M,28.20M,-11.20M,-85.40M,15.40M,36.90M,24.80M,51.20M,64.20M,42.80M,53.40M,68.00M,70.50M,45.90M,43.50M,-198.50M,1.30M,37.70M,25.60M,24.10M,57.90M,33.70M,41.10M,34.30M,33.80M,42.20M,23.40M,29.00M,-1.00M,36.10M,5.30M,34.00M,52.20M,-106.90M,48.60M,41.50M,63.60M,63.40M,45.40M,45.50M,19.40M,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,-24.04M,18.78M,9.115M,10.82M,-34.96M,17.84M,2.622M,-111.64M,174.53M,2.76M,-4.545M,97.39M,-17.28M,-2.176M,-134.17M,-65.55M,-63.19M,-820.94M,-21.10M,-121.26M,-224.96M,125.44M,161.92M,164.90M,14.36M,198.59M,194.26M,177.33M,58.26M,165.55M,196.73M,184.20M,69.90M,179.40M,225.19M,172.99M,104.16M,155.28M,172.69M,137.26M,217.18M,123.90M,110.29M,85.28M,140.75M,334.42M,349.96M,248.49M,108.33M,118.57M,154.05M,89.75M,55.64M,160.31M,78.95M,98.82M,98.36M,131.57M,214.16M,90.07M,79.29M,80.64M,89.48M,59.13M,-5.493M,21.84M,38.68M,31.18M,-1.577M,6.892M,27.59M,1.381M,3.181M,27.92M,84.42M,58.15M,41.34M,42.88M,46.89M,24.87M,21.50M,29.30M,12.50M,-4.50M,-24.20M,6.40M,14.70M,9.30M,19.30M,21.90M,15.20M,22.80M,27.60M,30.00M,17.80M,19.50M,-35.70M,-6.30M,17.10M,9.60M,6.00M,20.60M,6.20M,17.40M,14.20M,13.60M,19.50M,-0.40M,7.30M,-15.70M,8.60M,6.40M,6.50M,8.60M,-1.80M,24.10M,23.60M,26.00M,34.90M,27.50M,24.60M,16.90M,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,-91.27M,158.33M,98.82M,22.92M,47.61M,56.13M,-25.18M,90.58M,-526.84M,-66.32M,-17.35M,57.50M,-62.78M,-14.58M,2.905M,-199.48M,-583.23M,-1.587B,-88.99M,3.53M,441.96M,271.06M,142.67M,169.29M,180.49M,265.08M,259.89M,182.68M,88.21M,211.68M,291.31M,281.44M,-308.23M,347.31M,280.02M,238.44M,119.00M,197.44M,272.29M,148.89M,319.56M,188.88M,160.84M,71.24M,133.01M,585.02M,618.52M,408.21M,206.12M,199.54M,250.24M,110.63M,88.37M,224.14M,216.17M,115.98M,154.56M,222.40M,347.79M,113.15M,131.79M,115.77M,168.14M,80.70M,35.88M,68.74M,72.36M,94.10M,35.54M,36.49M,12.92M,2.331M,26.30M,41.73M,162.57M,97.84M,86.23M,90.11M,73.04M,49.14M,59.50M,51.20M,15.70M,-6.70M,-61.20M,9.00M,22.20M,15.50M,31.90M,42.30M,27.60M,30.60M,40.40M,40.50M,28.10M,24.00M,-162.80M,7.60M,20.60M,16.00M,18.10M,37.30M,27.50M,23.70M,20.10M,20.20M,22.70M,23.80M,21.70M,14.70M,27.50M,-1.10M,27.50M,43.60M,-105.10M,24.50M,17.90M,37.60M,28.50M,17.90M,20.90M,2.50M,16.80M,6.40M,25.70M,10.10M,9.40M,-6.40M,-61.60M,7.80M,7.10M,3.10M,-207.80M,-0.50M,2.60M,10.90M,17.10M,18.60M,23.80M,20.20M,42.40M,25.30M,23.60M,26.30M
Income from Discontinued Operations,36.86M,953.37M,24.42M,49.85M,64.16M,37.81M,70.70M,77.67M,240.05M,0.425M,-0.217M,0.969M,-1.142M,-1.593M,0.025M,0.683M,-3.898M,-8.344M,15.15M,-17.97M,-66.72M,-25.35M,-13.26M,-14.03M,-105.07M,19.73M,142.76M,177.92M,70.48M,15.00M,4.131M,8.633M,194.30M,58.80M,31.60M,30.46M,55.07M,5.395M,,,-0.686M,0.00,-2.074M,99.86M,-5.642M,-0.595M,0.688M,0.786M,,,,,,,,,0.00,8.549M,,,2.689M,2.95M,181.74M,17.54M,,,7.331M,,22.10M,0.916M,1.012M,0.203M,,,,,,,,,,,,,,,,,,,,,3.10M,1.80M,,,,,,,,,,,,,,,3.60M,,,20.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,-6.993M,,,,,,,,,0.00,,,-8.733M,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,15.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,-17.31M,-22.70M,-30.97M,-32.59M,-8.392M,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124M,0.448M,0.002M,-0.026M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.60M,,1.70M,0.40M,-0.70M,-5.20M,-5.30M,-4.70M,-3.90M,3.80M,,,,,,,,,,,,,,,,,,,,,,
