Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Net Operating Interest Income,-185.00M,-192.00M,-179.00M,-179.00M,-164.00M,-164.00M,-164.00M,-160.00M,-167.00M,-151.00M,-154.00M,-155.00M,-161.36M,-156.94M,-155.31M,-146.38M,-145.55M,-145.22M,-137.67M,-134.56M,-135.07M,-132.13M,-128.00M,-125.65M,-132.72M,-133.86M,-135.03M,-126.07M,-131.49M,-141.46M,-143.36M,-139.60M,-143.58M,-139.74M,-144.86M,-139.58M,-115.64M,-139.97M,-133.64M,-141.78M,-124.93M,-127.04M,-126.31M,-138.88M,-129.45M,-120.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,73.00M,75.00M,65.00M,72.00M,74.00M,77.00M,69.00M,71.00M,67.00M,74.00M,65.00M,68.00M,67.73M,63.91M,55.92M,57.44M,59.28M,57.31M,54.14M,183.27M,78.22M,75.17M,70.83M,77.55M,68.44M,67.81M,60.44M,64.03M,69.28M,68.92M,58.62M,63.71M,,,,,,,,,,466.46M,472.40M,471.89M,,422.56M,490.12M,1.311B,521.04M,455.45M,444.34M,1.214B,,,621.97M,1.299B,1.248B,536.90M,684.11M,1.087B,1.015B,498.13M,595.73M,1.007B,834.77M,550.04M,623.03M,919.23M,-3.379B,3.644B,1.022B,2.158B,-649.88M,1.098B,2.118B,2.650B,658.68M,693.65M,1.241B,128.69M,1.237B,125.40M,171.53M,139.20M,1.143B,128.10M,145.80M,132.50M,,,161.30M,132.60M,127.70M,109.80M,118.90M,130.70M,120.30M,110.50M,116.00M,104.00M,126.40M,104.90M,104.20M,105.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Expenses,659.00M,659.00M,646.00M,655.00M,656.00M,652.00M,583.00M,599.00M,575.00M,580.00M,567.00M,576.00M,528.13M,510.76M,517.84M,523.28M,480.44M,459.83M,458.70M,595.04M,449.78M,448.94M,444.86M,450.00M,427.26M,403.98M,407.84M,428.30M,405.47M,410.65M,385.95M,400.80M,-1.210B,935.59M,919.42M,906.62M,-1.128B,873.96M,864.70M,826.51M,831.83M,790.76M,789.24M,802.87M,737.23M,729.42M,766.46M,1.610B,795.73M,713.14M,725.27M,1.506B,,,896.96M,1.581B,1.507B,800.24M,949.42M,1.354B,1.264B,748.26M,841.30M,1.262B,1.021B,821.27M,910.59M,1.191B,-3.343B,3.995B,1.367B,2.502B,-518.46M,1.396B,2.427B,2.958B,946.92M,984.79M,1.528B,357.32M,1.548B,396.50M,350.00M,339.04M,1.411B,396.90M,364.00M,360.60M,,,375.20M,362.40M,189.30M,362.10M,340.90M,357.60M,211.50M,365.60M,332.10M,338.90M,208.30M,340.10M,322.20M,343.40M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,450.00M,758.00M,410.00M,486.00M,339.00M,696.00M,450.00M,480.00M,442.00M,823.00M,465.00M,491.00M,494.06M,825.91M,430.66M,489.37M,438.08M,786.50M,422.62M,348.80M,388.99M,665.26M,394.77M,492.18M,323.22M,662.73M,400.83M,452.48M,314.93M,718.39M,404.63M,377.36M,339.22M,651.50M,359.44M,426.66M,315.84M,568.63M,325.30M,403.66M,353.26M,465.15M,279.37M,370.80M,352.84M,447.99M,259.84M,330.12M,285.79M,495.77M,290.55M,278.13M,-6.197B,2.412B,225.70M,312.75M,250.56M,364.72M,202.24M,275.02M,217.35M,337.83M,198.78M,321.24M,277.88M,365.89M,162.53M,292.32M,2.703B,-2.141B,314.39M,327.92M,-335.80M,637.59M,433.25M,469.79M,179.13M,405.28M,370.46M,111.73M,852.00M,122.50M,53.47M,123.94M,830.53M,134.90M,65.20M,79.10M,-1.557B,697.40M,36.50M,88.50M,262.00M,105.50M,70.90M,89.30M,225.70M,111.70M,68.20M,87.80M,197.20M,89.00M,65.70M,85.70M,630.00M,588.00M,545.30M,640.80M,572.00M,523.40M,500.30M,563.80M,533.50M,589.20M,501.50M,577.00M,431.20M,554.90M,494.80M,583.60M,499.60M,483.00M,446.50M,560.60M,484.00M,530.30M,442.80M,549.40M,428.80M,470.30M,398.70M,472.50M,421.10M,432.70M,387.20M,540.60M,465.80M,389.90M,386.90M,546.20M,444.10M,413.30M,393.30M,524.90M
Non-Operating Interest Income,,,,,,,,,,6.00M,2.00M,4.00M,,1.385M,0.984M,4.07M,1.061M,0.312M,0.389M,4.238M,1.029M,1.139M,1.292M,3.893M,0.728M,1.304M,1.505M,4.806M,2.004M,1.82M,0.881M,5.622M,2.411M,1.974M,1.481M,4.773M,2.849M,4.88M,1.243M,2.051M,6.153M,2.709M,3.14M,2.926M,7.509M,9.854M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Interest Expense,178.00M,186.00M,173.00M,173.00M,157.00M,158.00M,158.00M,154.00M,149.00M,151.00M,150.00M,153.00M,148.95M,152.26M,149.67M,144.12M,140.43M,139.28M,132.20M,133.10M,130.26M,127.53M,123.67M,123.75M,127.37M,129.14M,124.31M,125.06M,127.54M,137.27M,138.20M,139.14M,121.97M,141.71M,146.34M,144.35M,97.85M,144.85M,134.88M,143.83M,131.08M,129.75M,129.45M,141.80M,136.96M,130.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Non-Operating Interest Income Expense,-185.00M,-192.00M,-179.00M,-179.00M,-164.00M,-164.00M,-164.00M,-160.00M,-167.00M,-151.00M,-154.00M,-155.00M,-161.36M,-156.94M,-155.31M,-146.38M,-145.55M,-145.22M,-137.67M,-134.56M,-135.07M,-132.13M,-128.00M,-125.65M,-132.72M,-133.86M,-135.03M,-126.07M,-131.49M,-141.46M,-143.36M,-139.60M,-143.58M,-139.74M,-144.86M,-139.58M,-115.64M,-139.97M,-133.64M,-141.78M,-124.93M,-127.04M,-126.31M,-138.88M,-129.45M,-120.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income and Expenses,34.00M,33.00M,31.00M,33.00M,33.00M,32.00M,33.00M,30.00M,32.00M,25.00M,18.00M,20.00M,3.941M,27.24M,25.84M,26.98M,26.52M,24.21M,21.86M,21.40M,30.24M,31.42M,32.65M,30.46M,32.85M,29.24M,29.95M,28.59M,26.84M,24.06M,23.60M,21.52M,23.58M,19.84M,28.62M,28.39M,7.971M,52.03M,20.82M,11.88M,129.24M,-13.28M,-0.121M,31.02M,27.24M,16.20M,24.54M,2.025M,7.953M,0.122M,-8.529M,1.666M,,,0.802M,1.118M,6.445M,-0.288M,9.984M,0.242M,9.387M,1.942M,13.38M,14.56M,-17.25M,17.44M,2.135M,-3.918M,,,,,,,,40.00M,193.81M,-5.027M,55.55M,49.61M,77.22M,51.50M,17.38M,-12.36M,116.98M,-7.30M,1.20M,5.10M,,,-1.60M,-3.70M,-5.30M,-0.30M,-5.00M,-3.40M,-18.40M,-2.20M,-6.10M,2.00M,-10.20M,5.30M,-2.00M,3.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-185.00M,-192.00M,-179.00M,-179.00M,-164.00M,-164.00M,-164.00M,-160.00M,-167.00M,-151.00M,-154.00M,-155.00M,-161.36M,-156.94M,-155.31M,-146.38M,-145.55M,-145.22M,-137.67M,-134.56M,-135.07M,-132.13M,-128.00M,-125.65M,-132.72M,-133.86M,-135.03M,-126.07M,-131.49M,-141.46M,-143.36M,-139.60M,-143.58M,-139.74M,-144.86M,-139.58M,-115.64M,-139.97M,-133.64M,-141.78M,-124.93M,-127.04M,-126.31M,-138.88M,-129.45M,-120.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Tax Income,299.00M,599.00M,262.00M,340.00M,208.00M,564.00M,319.00M,350.00M,307.00M,697.00M,329.00M,356.00M,336.64M,696.21M,301.19M,369.96M,319.05M,665.49M,306.81M,235.65M,284.16M,564.55M,299.42M,396.99M,223.36M,558.10M,295.75M,355.00M,210.28M,600.99M,284.88M,259.28M,219.22M,531.60M,243.20M,315.47M,208.17M,478.69M,212.49M,289.24M,261.58M,357.40M,174.91M,262.94M,250.63M,343.90M,160.58M,230.58M,130.58M,382.29M,178.08M,166.42M,,,125.32M,203.15M,142.26M,258.45M,102.36M,169.32M,121.57M,239.67M,101.46M,221.54M,157.74M,279.57M,53.49M,186.44M,2.854B,-2.307B,122.90M,136.78M,-76.12M,406.95M,237.66M,315.59M,199.95M,195.65M,236.98M,70.27M,631.21M,107.60M,17.02M,72.47M,714.82M,83.70M,23.20M,43.10M,,,1.50M,59.40M,237.80M,80.20M,40.20M,63.20M,,,68.60M,69.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Taxes,7.00M,72.00M,24.00M,25.00M,-6.00M,73.00M,54.00M,59.00M,118.00M,205.00M,102.00M,117.00M,109.54M,238.41M,104.40M,128.65M,110.51M,239.03M,109.88M,83.58M,87.82M,195.97M,104.26M,135.77M,73.30M,193.35M,98.89M,118.43M,70.04M,202.84M,101.80M,75.52M,78.48M,193.30M,84.53M,112.00M,71.67M,166.20M,76.87M,121.90M,90.73M,135.61M,57.85M,87.12M,85.92M,121.55M,55.11M,76.58M,39.31M,135.94M,62.28M,47.91M,,,27.23M,53.34M,43.30M,60.63M,24.68M,44.86M,-0.64M,73.97M,15.94M,72.41M,7.829M,94.92M,-1.172M,60.48M,854.86M,-679.84M,37.28M,33.28M,-20.23M,148.13M,70.16M,106.28M,62.15M,97.73M,80.24M,22.27M,235.37M,-3.70M,5.53M,20.15M,284.29M,-18.00M,-11.80M,-14.00M,,,-16.80M,-6.40M,158.10M,-4.00M,-3.20M,-4.00M,,,8.80M,0.90M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Continuing Operations,292.00M,527.00M,238.00M,315.00M,214.00M,491.00M,265.00M,291.00M,189.00M,492.00M,227.00M,239.00M,227.10M,457.80M,196.80M,241.31M,208.54M,426.46M,196.93M,152.07M,196.34M,368.58M,195.16M,261.22M,150.06M,364.75M,196.86M,236.57M,140.24M,398.15M,183.08M,183.77M,140.74M,338.30M,158.67M,203.47M,136.50M,312.49M,135.62M,167.34M,170.85M,221.79M,117.06M,175.82M,163.56M,222.70M,105.47M,153.99M,91.27M,246.34M,115.80M,118.51M,96.76M,224.18M,98.09M,149.81M,98.96M,197.82M,77.68M,124.46M,122.21M,165.70M,85.51M,149.13M,149.91M,184.65M,54.66M,125.97M,1.999B,-1.627B,85.62M,103.50M,-55.89M,258.82M,167.50M,209.31M,137.80M,97.92M,156.74M,48.00M,395.83M,111.30M,11.49M,52.32M,430.53M,101.70M,35.00M,57.10M,65.40M,87.90M,18.30M,65.80M,79.70M,84.20M,43.40M,67.20M,59.00M,88.80M,59.80M,68.20M,48.80M,76.10M,52.80M,65.80M,61.50M,59.90M,35.90M,54.50M,29.80M,55.70M,31.10M,44.30M,37.00M,89.40M,24.60M,55.90M,-6.30M,84.80M,48.50M,65.90M,40.80M,73.30M,36.90M,71.00M,22.30M,84.60M,44.00M,63.90M,28.80M,78.00M,35.10M,63.00M,40.20M,63.10M,30.20M,73.40M,43.40M,49.10M,39.60M,65.80M,31.10M,51.70M,43.10M,66.20M
Income from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041M,-0.015M,0.124M,,0.037M,0.091M,0.102M,0.131M,-0.182M,4.151M,-0.222M,-1.964M,-0.965M,0.043M,-1.751M,0.518M,0.094M,0.099M,-0.887M,38.65M,5.369M,-48.10M,1.197M,0.961M,0.287M,0.186M,1.486M,13.10M,-1.798M,5.73M,-2.985M,-49.18M,-118.98M,0.792M,0.779M,327.53M,102.85M,-337.22M,14.05M,-2.204B,-577.00M,1.685M,,188.96M,14.08M,0.353M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,17.00M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extraordinary Items, Income Statement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.302M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,45.50M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Attributable to Minority Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248M,0.127M,0.225M,0.113M,0.134M,,,0.253M,,,0.171M,,,,-0.196M,,,,-2.621M,-9.566M,,,,6.788M,3.872M,,-37.21M,-9.794M,-8.652M,-11.74M,-19.02M,-7.929M,,,,,,,,,,,,4.80M,7.20M,12.60M,6.30M,6.10M,6.00M,31.00M,9.60M,35.90M,8.80M,20.80M,8.10M,12.90M,-0.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.26M,4.674M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,,,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.061M,1.06M,1.06M,1.06M,1.06M,1.06M,1.06M,1.06M,1.092M,1.10M,2.11M,1.06M,1.048M,1.10M,1.10M,2.40M,,,2.40M,4.00M,3.00M,3.10M,3.10M,3.10M,3.00M,3.10M,3.10M,3.20M,3.20M,3.10M,3.10M,3.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
