Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Current Deferred Tax Assets,,,,,,,,,,,,,,195.30M,206.64M,180.51M,,352.71M,429.86M,383.46M,246.21M,283.05M,282.76M,252.66M,341.20M,325.97M,158.35M,93.19M,32.53M,225.88M,178.47M,162.35M,178.45M,,,,0.00,,,,223.08M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,488.00M,455.00M,425.00M,412.00M,464.00M,452.00M,440.00M,422.00M,424.00M,407.64M,375.02M,360.31M,364.00M,317.61M,325.69M,317.49M,344.63M,347.12M,364.75M,351.78M,444.06M,415.20M,462.18M,481.47M,417.80M,396.27M,396.31M,369.21M,352.98M,353.81M,366.23M,333.05M,402.24M,412.21M,381.46M,420.75M,388.54M,96.45M,147.92M,131.88M,357.01M,264.53M,289.41M,155.65M,158.61M,601.38M,474.07M,529.73M,540.92M,517.94M,523.82M,484.24M,742.94M,818.49M,759.54M,736.00M,908.92M,1.431B,976.28M,941.06M,1.126B,638.65M,567.36M,566.68M,1.187B,1.004B,368.34M,906.47M,1.951B,849.87M,804.04M,737.73M,745.35M,644.14M,675.90M,883.44M,457.76M,323.90M,169.73M,101.70M,250.95M,63.00M,124.50M,49.20M,44.80M,49.60M,56.50M,47.10M,55.70M,44.70M,54.90M,58.60M,72.60M,65.00M,61.70M,138.90M,57.90M,125.90M,143.60M,132.80M,155.50M,116.10M,134.60M,126.90M
Total Current Assets,3.113B,3.60B,2.939B,2.909B,3.094B,3.003B,3.056B,2.782B,2.973B,2.899B,2.757B,2.633B,2.842B,3.076B,2.704B,2.733B,2.770B,3.344B,3.049B,3.057B,3.364B,3.197B,3.124B,3.129B,3.218B,3.121B,2.818B,2.705B,2.625B,3.371B,2.560B,2.543B,2.983B,2.861B,2.479B,2.514B,2.733B,2.530B,2.264B,2.344B,2.977B,2.391B,2.559B,2.452B,3.016B,3.031B,2.688B,2.688B,2.807B,2.655B,2.330B,2.379B,2.634B,2.542B,2.484B,2.538B,3.142B,3.194B,2.478B,2.433B,2.571B,2.171B,2.020B,2.386B,3.131B,3.118B,2.091B,4.065B,3.737B,4.194B,3.571B,3.528B,3.294B,3.152B,3.424B,3.581B,3.128B,2.663B,1.286B,1.156B,2.061B,892.20M,886.40M,694.00M,754.10M,749.40M,673.40M,777.30M,801.80M,785.50M,689.60M,724.60M,797.20M,716.90M,801.30M,837.70M,704.50M,625.00M,638.80M,610.50M,665.20M,598.10M,606.50M,651.30M
Other Properties,5.011B,5.006B,4.992B,4.816B,3.093B,3.054B,2.722B,2.712B,2.708B,2.680B,2.678B,2.674B,2.604B,2.507B,2.491B,2.485B,2.486B,2.457B,2.461B,2.461B,2.419B,2.328B,2.286B,2.286B,2.288B,2.274B,2.258B,2.250B,2.244B,105.57M,,2.063B,2.090B,29.90B,29.81B,,,30.60B,30.41B,29.29B,1.737B,29.09B,28.65B,28.10B,27.71B,27.42B,27.05B,25.15B,24.91B,24.72B,24.21B,25.23B,23.79B,23.68B,24.79B,23.36B,24.46B,23.15B,23.07B,22.68B,22.41B,23.19B,23.25B,22.96B,112.09B,21.36B,21.07B,27.71B,21.57B,27.75B,28.45B,27.70B,26.47B,29.03B,27.22B,24.81B,23.12B,23.21B,,,20.42B,,,,,,,,,,,,,,,,,,,,,,,
Construction in Progress,2.329B,2.629B,1.745B,2.287B,2.091B,3.029B,2.658B,2.339B,2.087B,1.862B,1.571B,1.597B,1.373B,1.845B,1.687B,1.486B,1.257B,1.679B,2.092B,2.011B,2.006B,2.365B,2.503B,2.672B,2.372B,2.392B,2.299B,2.137B,1.757B,1.681B,1.485B,1.315B,1.085B,1.170B,1.144B,1.385B,1.186B,1.667B,1.361B,1.972B,1.770B,1.689B,1.686B,1.814B,1.832B,1.925B,1.867B,2.006B,1.811B,1.715B,1.881B,1.680B,1.425B,1.333B,1.101B,978.64M,783.49M,657.37M,602.09M,708.33M,721.34M,836.95M,739.59M,778.59M,917.53M,943.89M,921.05M,1.388B,889.90M,1.534B,3.607B,3.588B,3.683B,588.70M,772.51M,681.78M,915.49M,524.36M,,,533.05M,,,,,,,,,,,,,,,,,,,,,,,
Gross PP&E,60.60B,59.60B,58.25B,57.18B,55.02B,53.75B,53.12B,52.28B,51.62B,51.20B,50.48B,49.95B,49.40B,48.58B,47.98B,47.31B,46.86B,45.59B,44.90B,44.33B,43.88B,42.59B,41.83B,41.15B,40.57B,39.63B,38.95B,38.21B,37.60B,37.15B,36.59B,36.07B,35.65B,34.83B,34.48B,33.70B,33.27B,32.27B,31.77B,31.26B,30.72B,30.77B,30.33B,29.92B,29.55B,29.34B,28.92B,27.16B,26.73B,26.44B,26.09B,26.91B,25.22B,25.01B,25.89B,24.34B,25.24B,23.80B,23.67B,23.39B,23.13B,24.03B,23.99B,23.74B,113.00B,22.31B,21.99B,29.09B,22.46B,29.28B,32.05B,31.29B,30.16B,29.62B,27.99B,25.49B,24.03B,23.73B,9.967B,8.926B,20.95B,9.700B,9.586B,8.707B,9.424B,9.335B,9.214B,9.028B,9.062B,8.996B,8.891B,8.802B,8.741B,8.685B,8.580B,8.498B,8.407B,8.342B,8.250B,8.170B,8.109B,8.009B,7.908B,4.196B
Accumulated D&A,-19.44B,-19.18B,-18.83B,-18.45B,-18.08B,-17.87B,-17.84B,-17.60B,-17.30B,-17.25B,-16.94B,-16.79B,-16.56B,-16.37B,-16.16B,-15.88B,-15.65B,-15.76B,-15.55B,-15.36B,-15.13B,-14.96B,-14.76B,-14.61B,-14.45B,-14.28B,-14.14B,-13.99B,-13.79B,-13.74B,-13.54B,-13.40B,-13.30B,-13.10B,-12.96B,-12.79B,-12.61B,-12.82B,-12.69B,-12.52B,-12.21B,-12.26B,-12.13B,-11.97B,-11.86B,-11.79B,-11.64B,-10.20B,-10.05B,-10.09B,-9.984B,-11.07B,-9.670B,-9.704B,-10.80B,-9.454B,-10.55B,-9.375B,-9.327B,-9.188B,-9.051B,-10.16B,-10.10B,-9.953B,-99.71B,-9.538B,-9.361B,-9.901B,-9.144B,-10.15B,-10.04B,-9.823B,-9.537B,-9.342B,-9.127B,-8.932B,-8.759B,-8.670B,-5.499B,-4.478B,-8.153B,-5.301B,-5.208B,-4.325B,-5.029B,-4.962B,-4.872B,-4.685B,-4.701B,-4.653B,-4.568B,-4.483B,-4.403B,-4.341B,-4.256B,-4.176B,-4.097B,-4.060B,-3.990B,-3.910B,-3.836B,-3.784B,-3.710B,-3.60M
Net PP&E,41.16B,40.42B,39.41B,38.73B,36.94B,35.88B,35.29B,34.68B,34.33B,33.95B,33.54B,33.16B,32.84B,32.21B,31.82B,31.43B,31.21B,29.83B,29.35B,28.97B,28.76B,27.63B,27.07B,26.54B,26.12B,25.34B,24.81B,24.22B,23.81B,23.40B,23.05B,22.67B,22.35B,21.73B,21.51B,20.91B,20.66B,19.44B,19.07B,18.74B,18.51B,18.51B,18.20B,17.95B,17.69B,17.55B,17.28B,16.96B,16.68B,16.35B,16.11B,15.84B,15.55B,15.31B,15.09B,14.88B,14.70B,14.43B,14.34B,14.20B,14.08B,13.87B,13.89B,13.79B,13.30B,12.77B,12.63B,19.19B,13.31B,19.14B,22.01B,21.47B,20.62B,20.28B,18.87B,16.56B,15.27B,15.06B,4.468B,4.449B,12.80B,4.400B,4.378B,4.382B,4.395B,4.373B,4.342B,4.343B,4.361B,4.343B,4.323B,4.319B,4.338B,4.344B,4.324B,4.321B,4.310B,4.282B,4.260B,4.260B,4.274B,4.225B,4.198B,4.193B
Goodwill and Intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.94M,66.16M,101.22M,,102.18M,181.70M,,117.29M,,,,,,118.46M,118.53M,,124.90M,121.20M,96.10M,95.90M,96.10M,97.40M,90.30M,92.80M,62.40M,46.70M,121.60M,103.40M,93.60M,96.40M,98.00M,85.80M,84.70M,74.40M,79.10M,68.60M,72.10M,70.30M,68.30M
Long Term Investments,2.731B,2.599B,2.573B,2.504B,2.317B,2.473B,2.398B,2.404B,2.397B,2.300B,2.232B,2.188B,2.092B,2.048B,1.987B,1.918B,1.903B,1.808B,1.880B,1.867B,1.833B,1.817B,1.839B,1.793B,1.756B,1.680B,1.623B,1.664B,1.618B,1.578B,1.522B,1.537B,1.464B,1.400B,1.517B,1.511B,1.476B,1.443B,1.377B,1.419B,1.382B,1.366B,1.317B,1.179B,1.232B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative Instruments,22.00M,22.00M,23.00M,25.00M,34.00M,42.00M,47.00M,49.00M,48.00M,49.12M,50.41M,48.68M,50.00M,51.37M,50.64M,55.61M,51.08M,54.74M,53.31M,51.74M,53.78M,53.58M,59.73M,67.51M,84.84M,95.89M,100.31M,111.17M,126.30M,135.74M,137.02M,146.44M,152.89M,158.36M,169.07M,177.47M,184.03M,261.75M,260.09M,275.12M,289.53M,308.77M,310.24M,325.46M,325.69M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Deferred Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.58M,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Long Term Assets,492.00M,478.00M,490.00M,499.00M,272.00M,272.00M,273.00M,280.00M,,259.12M,255.47M,247.35M,,67.72M,38.42M,33.00M,,182.06M,176.17M,174.61M,175.96M,177.36M,173.51M,170.06M,217.24M,178.17M,184.15M,177.08M,200.01M,203.51M,193.57M,192.16M,155.93M,164.50M,163.82M,168.47M,180.04M,2.622B,2.588B,2.552B,162.30M,2.501B,2.600B,2.706B,2.696B,3.915B,3.752B,3.716B,3.702B,3.823B,3.848B,3.765B,3.776B,3.372B,3.689B,3.720B,3.667B,3.916B,3.652B,3.663B,3.658B,4.022B,3.823B,3.656B,3.778B,2.310B,2.310B,4.412B,12.38B,4.974B,4.641B,4.336B,4.688B,4.314B,4.096B,3.470B,3.368B,2.737B,6.054B,5.873B,3.210B,3.268B,3.153B,2.207B,2.151B,2.048B,2.018B,1.980B,1.888B,1.868B,1.810B,1.434B,1.398B,1.240B,1.180B,1.124B,1.128B,1.082B,1.031B,964.60M,942.20M,886.90M,858.10M,757.50M
Total Long Term Assets,47.34B,46.64B,45.64B,44.94B,42.89B,41.83B,41.18B,40.38B,40.06B,39.57B,39.10B,38.65B,38.31B,37.25B,36.79B,36.34B,36.05B,34.69B,34.22B,33.82B,33.59B,32.17B,31.59B,31.07B,30.69B,30.01B,29.45B,28.88B,28.52B,27.69B,27.26B,26.91B,26.51B,25.68B,25.52B,24.95B,24.66B,23.77B,23.30B,22.99B,22.33B,22.69B,22.43B,22.18B,21.94B,21.47B,21.03B,20.67B,20.38B,20.17B,19.96B,19.60B,19.32B,18.68B,18.78B,18.60B,18.36B,18.34B,18.00B,17.87B,17.73B,17.89B,17.72B,17.44B,17.07B,15.15B,15.01B,23.71B,25.70B,24.21B,26.83B,25.81B,25.42B,24.59B,22.96B,20.03B,18.64B,18.42B,10.64B,10.44B,16.01B,7.793B,7.652B,6.685B,6.642B,6.517B,6.457B,6.414B,6.342B,6.273B,6.179B,5.875B,5.840B,5.678B,5.60B,5.544B,5.524B,5.448B,5.365B,5.304B,5.284B,5.184B,5.126B,5.019B
Total Assets,50.45B,50.24B,48.58B,47.85B,45.99B,44.84B,44.24B,43.16B,43.03B,42.47B,41.86B,41.29B,41.16B,40.32B,39.49B,39.07B,38.82B,38.03B,37.27B,36.88B,36.96B,35.36B,34.72B,34.20B,33.91B,33.13B,32.27B,31.59B,31.14B,31.06B,29.82B,29.45B,29.50B,28.54B,28.00B,27.47B,27.39B,26.30B,25.56B,25.33B,25.31B,25.08B,24.99B,24.63B,24.96B,24.50B,23.72B,23.36B,23.18B,22.82B,22.29B,21.98B,21.96B,21.22B,21.26B,21.14B,21.50B,21.54B,20.47B,20.30B,20.30B,20.06B,19.74B,19.83B,20.21B,18.26B,17.10B,27.77B,29.44B,28.41B,30.40B,29.33B,28.72B,27.75B,26.39B,23.61B,21.77B,21.08B,11.93B,11.60B,18.07B,8.685B,8.539B,7.379B,7.396B,7.266B,7.130B,7.191B,7.144B,7.059B,6.869B,6.599B,6.637B,6.395B,6.401B,6.381B,6.229B,6.073B,6.004B,5.914B,5.950B,5.782B,5.733B,5.670B
Accounts Payable,1.294B,1.258B,1.057B,1.154B,1.237B,1.189B,1.092B,1.027B,1.243B,992.50M,973.64M,861.51M,1.045B,916.53M,921.97M,809.66M,960.98M,924.26M,830.28M,898.00M,1.173B,1.061B,967.25M,1.062B,1.261B,965.57M,998.61M,932.55M,959.09M,885.10M,871.07M,786.19M,902.08M,837.26M,957.52M,848.57M,979.75M,794.38M,842.28M,842.79M,1.084B,811.62M,793.75M,857.67M,1.120B,863.89M,1.029B,1.064B,1.079B,873.20M,932.96M,949.49M,1.101B,878.68M,922.88M,901.88M,1.187B,1.023B,768.71M,730.47M,903.61M,744.79M,745.53M,629.58M,774.34M,684.36M,647.56M,1.430B,698.17M,1.409B,1.257B,1.333B,1.320B,1.326B,1.258B,1.268B,1.609B,1.153B,379.08M,315.58M,793.14M,284.30M,262.90M,256.80M,271.80M,215.00M,201.00M,187.20M,249.80M,170.90M,185.70M,186.00M,236.30M,187.70M,186.30M,230.40M,246.10M,187.90M,181.60M,179.30M,234.90M,181.70M,190.70M,184.40M
Dividends Payable,212.00M,212.00M,209.00M,208.00M,195.00M,194.00M,193.00M,193.00M,183.00M,182.80M,182.80M,182.80M,172.00M,172.70M,172.70M,172.70M,162.41M,162.32M,162.22M,162.13M,151.72M,151.62M,151.10M,150.25M,139.43M,139.33M,139.24M,133.24M,131.75M,131.65M,131.56M,126.60M,126.49M,127.50M,127.04M,123.31M,122.85M,117.24M,117.12M,113.57M,113.15M,112.84M,112.71M,109.18M,108.84M,107.61M,103.40M,100.08M,99.68M,97.64M,97.55M,92.02M,91.68M,91.51M,91.30M,88.16M,87.79M,87.68M,87.57M,83.69M,83.40M,84.04M,83.79M,76.06M,75.87M,,75.82M,1.06M,75.81M,75.98M,150.04M,139.92M,130.84M,130.51M,130.21M,129.62M,128.98M,75.20M,58.86M,57.83M,127.57M,57.00M,56.80M,56.10M,55.70M,55.50M,55.10M,53.80M,54.80M,54.70M,51.10M,50.00M,50.40M,50.40M,50.30M,48.70M,48.90M,48.70M,48.50M,47.60M,47.30M,47.30M,47.10M,46.10M
Current Tax Payable,466.00M,443.00M,342.00M,555.00M,450.00M,428.00M,316.00M,544.00M,448.00M,427.28M,339.97M,544.18M,457.00M,422.44M,330.40M,525.93M,438.19M,379.10M,280.84M,480.31M,396.62M,371.96M,269.02M,461.52M,378.77M,335.85M,242.34M,415.08M,334.44M,264.79M,215.16M,359.06M,289.71M,250.14M,189.56M,312.67M,254.32M,224.48M,166.74M,302.26M,257.74M,223.28M,169.96M,281.03M,220.54M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Payables,1.972B,1.913B,1.608B,1.917B,1.882B,1.811B,1.601B,1.764B,1.874B,1.603B,1.496B,1.588B,1.674B,1.512B,1.425B,1.508B,1.562B,1.466B,1.273B,1.540B,1.721B,1.585B,1.387B,1.674B,1.779B,1.441B,1.380B,1.481B,1.425B,1.282B,1.218B,1.272B,1.318B,1.215B,1.274B,1.285B,1.357B,1.136B,1.126B,1.259B,1.454B,1.148B,1.076B,1.248B,1.450B,971.50M,1.132B,1.164B,1.179B,970.84M,1.031B,1.042B,1.193B,970.20M,1.014B,990.04M,1.275B,1.111B,856.28M,814.16M,987.01M,828.83M,829.32M,705.64M,850.20M,684.36M,723.38M,1.431B,773.98M,1.485B,1.407B,1.473B,1.451B,1.456B,1.388B,1.397B,1.738B,1.229B,437.95M,373.41M,920.71M,341.30M,319.70M,312.90M,327.50M,270.50M,256.10M,241.00M,304.60M,225.60M,236.80M,236.00M,286.70M,238.10M,236.60M,279.10M,295.00M,236.60M,230.10M,226.90M,282.20M,229.00M,237.80M,230.50M
Accrued Expenses,192.00M,166.00M,180.00M,159.00M,174.00M,158.00M,176.00M,147.00M,174.00M,147.86M,175.85M,151.93M,173.00M,155.00M,169.31M,148.11M,166.83M,143.12M,160.15M,131.58M,158.54M,132.08M,158.66M,132.59M,159.37M,134.61M,156.75M,135.53M,162.49M,160.62M,176.86M,161.93M,177.11M,162.37M,165.31M,158.23M,163.91M,161.55M,161.44M,153.07M,159.69M,146.11M,170.48M,143.50M,168.63M,793.22M,664.55M,647.41M,736.00M,782.60M,726.46M,743.30M,709.62M,797.55M,606.44M,680.42M,815.93M,851.22M,696.33M,764.29M,813.02M,880.36M,729.95M,1.130B,1.602B,1.719B,1.565B,1.391B,10.51B,1.440B,973.05M,1.117B,1.338B,1.199B,1.062B,1.173B,855.15M,774.79M,402.45M,383.68M,698.78M,371.70M,305.70M,336.70M,295.80M,350.20M,263.40M,376.40M,304.70M,328.50M,241.80M,376.70M,320.10M,325.50M,245.10M,393.60M,312.90M,314.70M,233.70M,348.30M,285.30M,309.80M,234.20M,355.40M
Payables and Accrued Expenses,2.164B,2.079B,1.788B,2.076B,2.056B,1.969B,1.777B,1.911B,2.048B,1.750B,1.672B,1.740B,1.847B,1.667B,1.594B,1.656B,1.728B,1.609B,1.433B,1.672B,1.880B,1.717B,1.546B,1.806B,1.939B,1.575B,1.537B,1.616B,1.588B,1.442B,1.395B,1.434B,1.495B,1.377B,1.439B,1.443B,1.521B,1.298B,1.288B,1.412B,1.614B,1.294B,1.247B,1.391B,1.618B,1.765B,1.797B,1.812B,1.915B,1.753B,1.757B,1.785B,1.903B,1.768B,1.621B,1.670B,2.091B,1.962B,1.553B,1.578B,1.800B,1.709B,1.559B,1.835B,2.453B,2.404B,2.289B,2.822B,11.29B,2.925B,2.380B,2.590B,2.789B,2.655B,2.450B,2.570B,2.593B,2.003B,840.39M,757.09M,1.619B,713.00M,625.40M,649.60M,623.30M,620.70M,519.50M,617.40M,609.30M,554.10M,478.60M,612.70M,606.80M,563.60M,481.70M,672.70M,607.90M,551.30M,463.80M,575.20M,567.50M,538.80M,472.00M,585.90M
